date_time,El%20Salvador_maxtempC,El%20Salvador_mintempC,El%20Salvador_totalSnow_cm,El%20Salvador_sunHour,El%20Salvador_uvIndex,El%20Salvador_moon_illumination,El%20Salvador_moonrise,El%20Salvador_moonset,El%20Salvador_sunrise,El%20Salvador_sunset,El%20Salvador_DewPointC,El%20Salvador_FeelsLikeC,El%20Salvador_HeatIndexC,El%20Salvador_WindChillC,El%20Salvador_WindGustKmph,El%20Salvador_cloudcover,El%20Salvador_humidity,El%20Salvador_precipMM,El%20Salvador_pressure,El%20Salvador_tempC,El%20Salvador_visibility,El%20Salvador_winddirDegree,El%20Salvador_windspeedKmph,El%20Salvador_location
2020-03-02,36,18,0.0,11.6,7,51,11:34 AM,No moonset,06:12 AM,06:06 PM,17,27,27,26,8,19,67,0.0,1013,36,10,226,6,El%20Salvador
2020-03-03,33,20,0.0,11.6,7,58,12:23 PM,12:42 AM,06:11 AM,06:06 PM,18,28,28,27,6,36,68,0.0,1012,33,9,162,4,El%20Salvador
2020-03-04,35,20,0.0,11.6,7,65,01:17 PM,01:38 AM,06:11 AM,06:06 PM,19,27,27,26,6,10,70,0.0,1012,35,9,165,5,El%20Salvador
2020-03-05,38,20,0.0,11.6,8,73,02:15 PM,02:34 AM,06:10 AM,06:06 PM,18,30,30,29,6,6,65,0.0,1012,38,10,208,4,El%20Salvador
2020-03-06,35,20,0.0,11.6,7,80,03:16 PM,03:32 AM,06:10 AM,06:06 PM,17,29,29,28,9,14,59,0.0,1015,35,10,222,7,El%20Salvador
2020-03-07,33,18,0.0,11.6,7,87,04:19 PM,04:27 AM,06:09 AM,06:06 PM,15,27,27,26,15,13,59,0.0,1015,33,10,226,11,El%20Salvador
2020-03-08,33,18,0.0,11.6,7,95,05:22 PM,05:21 AM,06:08 AM,06:06 PM,15,26,26,25,14,24,58,0.0,1014,33,10,225,10,El%20Salvador
2020-03-09,34,18,0.0,11.6,7,100,06:23 PM,06:11 AM,06:08 AM,06:07 PM,16,27,27,26,12,31,59,0.0,1014,34,10,266,8,El%20Salvador
2020-03-10,35,19,0.0,11.6,7,100,07:24 PM,07:00 AM,06:07 AM,06:07 PM,16,28,28,27,10,22,59,0.0,1015,35,10,299,7,El%20Salvador
2020-03-11,37,18,0.0,11.6,8,84,08:23 PM,07:48 AM,06:06 AM,06:07 PM,15,29,29,28,10,22,57,0.0,1013,37,10,314,7,El%20Salvador
