date_time,Malta_maxtempC,Malta_mintempC,Malta_totalSnow_cm,Malta_sunHour,Malta_uvIndex,Malta_moon_illumination,Malta_moonrise,Malta_moonset,Malta_sunrise,Malta_sunset,Malta_DewPointC,Malta_FeelsLikeC,Malta_HeatIndexC,Malta_WindChillC,Malta_WindGustKmph,Malta_cloudcover,Malta_humidity,Malta_precipMM,Malta_pressure,Malta_tempC,Malta_visibility,Malta_winddirDegree,Malta_windspeedKmph,Malta_location
2020-03-17,15,13,0.0,10.2,3,40,01:55 AM,11:49 AM,06:09 AM,06:11 PM,10,13,15,13,40,46,74,0.3,1026,15,10,119,29,Malta
2020-03-18,14,13,0.0,10.2,3,33,02:49 AM,12:44 PM,06:08 AM,06:12 PM,7,12,14,12,25,41,61,0.0,1025,14,10,92,19,Malta
2020-03-19,15,11,0.0,10.2,3,25,03:37 AM,01:41 PM,06:07 AM,06:13 PM,9,12,14,12,32,43,69,0.0,1023,15,10,93,24,Malta
2020-03-20,15,13,0.0,11.6,4,18,04:17 AM,02:39 PM,06:05 AM,06:14 PM,9,12,14,12,35,12,73,0.0,1023,15,10,120,26,Malta
2020-03-21,15,13,0.0,7.4,3,11,04:53 AM,03:37 PM,06:04 AM,06:15 PM,11,12,14,12,53,66,79,3.4,1014,15,9,112,38,Malta
2020-03-22,15,14,0.0,8.8,4,4,05:25 AM,04:33 PM,06:02 AM,06:15 PM,12,14,15,14,47,61,82,2.6,1009,15,9,67,34,Malta
2020-03-23,15,14,0.0,10.2,3,0,05:54 AM,05:29 PM,06:01 AM,06:16 PM,11,14,14,14,16,42,81,0.7,1015,15,10,85,11,Malta
2020-03-24,13,13,0.0,7.9,3,0,06:20 AM,06:24 PM,05:59 AM,06:17 PM,11,11,13,11,36,100,86,14.1,1015,13,8,119,25,Malta
2020-03-25,16,11,0.0,7.9,3,3,06:47 AM,07:20 PM,05:58 AM,06:18 PM,12,12,14,12,70,92,86,23.2,1002,16,9,116,50,Malta
2020-03-26,13,9,0.0,7.9,3,11,07:13 AM,08:15 PM,05:57 AM,06:19 PM,8,9,12,9,55,80,74,4.2,1001,13,9,278,43,Malta
2020-03-27,16,10,0.0,9.2,4,18,07:41 AM,09:12 PM,05:55 AM,06:20 PM,8,13,14,13,41,52,63,0.8,1010,16,10,240,30,Malta
2020-03-28,15,13,0.0,11.9,3,25,08:11 AM,10:09 PM,05:54 AM,06:20 PM,9,12,14,12,33,42,74,0.1,1014,15,10,289,24,Malta
2020-03-29,14,11,0.0,12.7,4,32,08:44 AM,11:08 PM,05:52 AM,06:21 PM,10,12,14,12,30,37,77,0.1,1013,14,10,119,21,Malta
2020-03-30,14,9,0.0,10.6,3,40,09:23 AM,No moonset,05:51 AM,06:22 PM,9,11,13,11,20,59,78,9.1,1011,14,9,238,15,Malta
2020-03-31,16,11,0.0,12.7,5,44,10:08 AM,12:07 AM,05:50 AM,06:23 PM,11,13,14,13,24,22,77,0.0,1016,16,10,281,17,Malta
2020-04-01,17,14,0.0,12.8,4,56,11:00 AM,01:04 AM,05:48 AM,06:24 PM,12,15,15,15,25,41,81,0.0,1014,17,10,235,17,Malta
2020-04-02,14,13,0.0,10.6,3,64,11:59 AM,01:59 AM,05:47 AM,06:25 PM,10,11,13,11,45,55,82,0.2,1012,14,10,84,35,Malta
2020-04-03,14,10,0.0,8.0,3,71,01:04 PM,02:50 AM,05:45 AM,06:25 PM,11,11,13,11,55,91,83,0.0,1007,14,10,54,41,Malta
2020-04-04,15,8,0.0,10.6,3,79,02:14 PM,03:36 AM,05:44 AM,06:26 PM,11,12,14,12,48,66,78,1.3,1011,15,10,126,35,Malta
2020-04-05,15,14,0.0,12.8,4,87,03:26 PM,04:17 AM,05:43 AM,06:27 PM,9,13,14,13,36,8,71,0.0,1017,15,10,318,25,Malta
2020-04-06,15,14,0.0,12.9,3,94,04:38 PM,04:55 AM,05:41 AM,06:28 PM,10,13,14,13,24,39,73,0.5,1021,15,10,130,16,Malta
2020-04-07,15,14,0.0,11.9,3,100,05:52 PM,05:31 AM,05:40 AM,06:29 PM,10,13,15,13,22,41,75,0.0,1024,15,10,57,16,Malta
2020-04-08,15,14,0.0,12.9,4,100,07:05 PM,06:06 AM,05:38 AM,06:30 PM,7,14,15,14,27,8,60,0.0,1025,15,10,177,19,Malta
2020-04-09,16,14,0.0,12.9,5,83,08:18 PM,06:41 AM,05:37 AM,06:30 PM,8,15,15,15,21,17,61,0.0,1023,16,10,311,14,Malta
2020-04-10,16,15,0.0,13.0,5,76,09:31 PM,07:20 AM,05:36 AM,06:31 PM,10,15,15,15,16,3,70,0.0,1023,16,10,316,11,Malta
2020-04-11,17,15,0.0,13.0,5,68,10:40 PM,08:02 AM,05:34 AM,06:32 PM,10,15,16,15,12,0,69,0.0,1022,17,10,307,9,Malta
2020-04-12,17,15,0.0,13.0,5,61,11:46 PM,08:49 AM,05:33 AM,06:33 PM,9,16,16,16,8,0,63,0.0,1021,17,10,271,6,Malta
2020-04-13,17,12,0.0,13.0,5,53,No moonrise,09:40 AM,05:32 AM,06:34 PM,10,15,15,15,27,10,70,0.0,1020,17,10,136,19,Malta
2020-04-14,19,14,0.0,13.1,5,46,12:44 AM,10:35 AM,05:30 AM,06:35 PM,14,17,17,17,37,11,80,0.0,1011,19,10,174,24,Malta
2020-04-15,17,15,0.0,13.1,5,38,01:35 AM,11:34 AM,05:29 AM,06:36 PM,13,16,16,16,34,5,82,0.0,1017,17,10,138,24,Malta
2020-04-16,16,12,0.0,13.1,5,30,02:18 AM,12:32 PM,05:28 AM,06:36 PM,11,15,15,15,28,27,74,0.0,1023,16,10,111,21,Malta
2020-04-17,17,13,0.0,13.1,5,23,02:56 AM,01:30 PM,05:26 AM,06:37 PM,11,16,16,16,11,6,75,0.0,1020,17,10,221,8,Malta
2020-04-18,18,16,0.0,13.1,5,15,03:29 AM,02:27 PM,05:25 AM,06:38 PM,13,17,17,17,10,5,78,0.0,1019,18,10,214,6,Malta
2020-04-19,19,16,0.0,13.2,5,8,03:58 AM,03:24 PM,05:24 AM,06:39 PM,14,17,17,17,22,10,80,0.0,1015,19,10,158,14,Malta
2020-04-20,18,16,0.0,13.2,4,0,04:25 AM,04:19 PM,05:22 AM,06:40 PM,14,17,17,17,55,51,80,2.4,1005,18,10,119,36,Malta
2020-04-21,18,16,0.0,8.3,4,0,04:51 AM,05:14 PM,05:21 AM,06:41 PM,15,17,17,17,51,73,86,0.6,1003,18,10,248,34,Malta
2020-04-22,19,14,0.0,13.2,5,0,05:17 AM,06:10 PM,05:20 AM,06:41 PM,14,17,17,17,31,16,79,0.0,1010,19,10,192,19,Malta
2020-04-23,17,15,0.0,8.3,4,0,05:44 AM,07:06 PM,05:19 AM,06:42 PM,14,17,17,17,45,62,84,3.0,1011,17,10,100,32,Malta
2020-04-24,18,16,0.0,13.3,4,7,06:13 AM,08:04 PM,05:17 AM,06:43 PM,13,17,17,17,17,38,80,0.2,1016,18,10,214,12,Malta
2020-04-25,18,15,0.0,13.3,5,15,06:46 AM,09:03 PM,05:16 AM,06:44 PM,13,16,16,16,13,18,81,0.0,1014,18,10,202,9,Malta
2020-04-26,19,17,0.0,13.3,5,22,07:23 AM,10:02 PM,05:15 AM,06:45 PM,14,18,18,18,17,30,81,0.0,1010,19,10,137,12,Malta
2020-04-27,19,17,0.0,13.3,5,30,08:05 AM,11:00 PM,05:14 AM,06:46 PM,15,18,18,18,13,18,80,0.0,1014,19,10,269,9,Malta
2020-04-28,20,17,0.0,13.3,5,37,08:54 AM,11:55 PM,05:13 AM,06:47 PM,14,19,19,19,9,12,76,0.0,1016,20,10,253,6,Malta
2020-04-29,19,13,0.0,12.0,4,45,09:50 AM,No moonset,05:12 AM,06:47 PM,14,18,18,18,17,45,79,0.5,1016,19,10,197,11,Malta
2020-04-30,19,17,0.0,13.4,5,52,10:52 AM,12:46 AM,05:11 AM,06:48 PM,14,18,18,18,38,13,76,1.5,1017,19,10,307,27,Malta
2020-05-01,20,18,0.0,13.4,5,58,11:58 AM,01:32 AM,05:09 AM,06:49 PM,14,19,19,19,46,3,74,0.0,1018,20,10,299,31,Malta
2020-05-02,19,18,0.0,13.4,5,65,01:06 PM,02:13 AM,05:08 AM,06:50 PM,15,18,18,18,49,4,83,0.0,1016,19,10,292,34,Malta
2020-05-03,19,18,0.0,13.4,5,72,02:16 PM,02:51 AM,05:07 AM,06:51 PM,16,19,19,19,55,6,83,0.0,1014,19,10,304,37,Malta
2020-05-04,19,18,0.0,13.5,5,80,03:28 PM,03:26 AM,05:06 AM,06:52 PM,15,18,18,18,27,2,81,0.0,1017,19,10,175,19,Malta
2020-05-05,20,17,0.0,13.5,5,87,04:39 PM,04:00 AM,05:05 AM,06:53 PM,16,19,19,19,19,7,85,0.0,1018,20,10,208,13,Malta
2020-05-06,22,18,0.0,12.1,5,94,05:52 PM,04:34 AM,05:04 AM,06:53 PM,16,21,22,21,22,39,75,0.0,1014,22,10,223,12,Malta
2020-05-07,19,18,0.0,13.5,5,100,07:05 PM,05:11 AM,05:03 AM,06:54 PM,15,19,19,19,35,6,80,0.0,1015,19,10,146,24,Malta
2020-05-08,19,16,0.0,13.5,5,100,08:17 PM,05:51 AM,05:02 AM,06:55 PM,12,18,18,18,26,14,67,0.0,1022,19,10,107,19,Malta
2020-05-09,19,17,0.0,13.6,5,84,09:27 PM,06:36 AM,05:01 AM,06:56 PM,14,18,18,18,26,4,79,0.0,1019,19,10,130,19,Malta
2020-05-10,20,16,0.0,13.6,5,77,10:30 PM,07:27 AM,05:00 AM,06:57 PM,16,19,19,19,42,38,80,0.0,1012,20,10,115,29,Malta
2020-05-11,20,18,0.0,9.9,4,70,11:27 PM,08:22 AM,04:59 AM,06:58 PM,16,19,19,19,38,48,81,0.0,1009,20,10,140,22,Malta
2020-05-12,21,19,0.0,11.0,5,62,No moonrise,09:21 AM,04:59 AM,06:58 PM,15,20,20,20,24,40,75,0.0,1014,21,10,156,13,Malta
2020-05-13,21,17,0.0,14.0,6,55,12:15 AM,10:21 AM,04:58 AM,06:59 PM,16,20,20,20,47,28,76,0.0,1014,21,10,113,27,Malta
2020-05-14,24,18,0.0,14.4,6,48,12:55 AM,11:21 AM,04:57 AM,07:00 PM,16,24,24,22,54,35,67,0.0,1011,24,10,137,28,Malta
2020-05-15,24,21,0.0,14.5,6,40,01:30 AM,12:19 PM,04:56 AM,07:01 PM,15,24,24,22,24,9,64,0.0,1012,24,10,145,11,Malta
2020-05-16,23,17,0.0,14.5,6,33,02:01 AM,01:16 PM,04:55 AM,07:02 PM,15,21,24,21,54,0,67,0.0,1013,23,10,104,27,Malta
2020-05-17,22,19,0.0,13.4,5,26,02:28 AM,02:12 PM,04:55 AM,07:03 PM,16,21,23,21,57,25,71,0.0,1012,22,10,97,29,Malta
2020-05-18,22,19,0.0,14.5,6,19,02:55 AM,03:07 PM,04:54 AM,07:03 PM,17,21,23,21,48,33,78,0.0,1012,22,10,70,26,Malta
2020-05-19,20,19,0.0,14.5,5,11,03:21 AM,04:03 PM,04:53 AM,07:04 PM,16,19,19,19,44,23,80,0.0,1014,20,10,305,32,Malta
2020-05-20,20,19,0.0,14.5,5,4,03:47 AM,04:59 PM,04:53 AM,07:05 PM,15,19,19,19,50,24,78,0.0,1013,20,10,287,36,Malta
2020-05-21,20,13,0.0,13.4,5,0,04:15 AM,05:57 PM,04:52 AM,07:06 PM,16,18,19,18,40,24,83,0.1,1012,20,10,265,29,Malta
2020-05-22,21,17,0.0,14.5,6,0,04:47 AM,06:56 PM,04:51 AM,07:06 PM,16,20,21,20,20,21,75,0.1,1020,21,10,161,14,Malta
2020-05-23,21,19,0.0,14.5,6,3,05:22 AM,07:56 PM,04:51 AM,07:07 PM,16,20,20,20,21,1,78,0.0,1026,21,10,224,14,Malta
2020-05-24,21,19,0.0,14.5,6,10,06:03 AM,08:55 PM,04:50 AM,07:08 PM,15,20,20,20,23,1,74,0.0,1024,21,10,291,15,Malta
2020-05-25,22,20,0.0,14.5,6,17,06:50 AM,09:52 PM,04:50 AM,07:09 PM,16,21,22,21,16,24,73,0.0,1022,22,10,250,11,Malta
2020-05-26,21,19,0.0,14.5,6,25,07:45 AM,10:44 PM,04:49 AM,07:09 PM,16,20,21,20,18,7,77,0.0,1021,21,10,106,13,Malta
2020-05-27,21,19,0.0,14.5,5,32,08:45 AM,11:32 PM,04:49 AM,07:10 PM,15,20,20,20,11,32,70,1.5,1022,21,10,214,8,Malta
2020-05-28,21,20,0.0,14.5,6,39,09:49 AM,No moonset,04:48 AM,07:11 PM,12,20,20,20,14,1,61,0.0,1023,21,10,149,10,Malta
2020-05-29,21,20,0.0,14.5,6,47,10:56 AM,12:14 AM,04:48 AM,07:11 PM,13,20,21,20,24,3,65,0.0,1019,21,10,217,17,Malta
2020-05-30,21,19,0.0,9.2,5,54,12:04 PM,12:52 AM,04:47 AM,07:12 PM,15,20,20,20,32,54,74,0.9,1015,21,10,153,22,Malta
2020-05-31,21,19,0.0,12.4,5,58,01:12 PM,01:27 AM,04:47 AM,07:13 PM,16,20,21,20,23,45,78,0.8,1014,21,10,256,16,Malta
2020-06-01,21,19,0.0,14.5,6,71,02:21 PM,01:59 AM,04:47 AM,07:13 PM,15,20,21,20,14,6,73,0.0,1014,21,10,156,10,Malta
2020-06-02,21,19,0.0,14.5,6,79,03:31 PM,02:32 AM,04:46 AM,07:14 PM,14,20,21,20,11,6,69,0.0,1014,21,10,174,8,Malta
2020-06-03,21,20,0.0,14.5,6,86,04:42 PM,03:06 AM,04:46 AM,07:15 PM,15,21,22,21,12,12,71,0.0,1012,21,10,189,9,Malta
