date_time,Venezuela_maxtempC,Venezuela_mintempC,Venezuela_totalSnow_cm,Venezuela_sunHour,Venezuela_uvIndex,Venezuela_moon_illumination,Venezuela_moonrise,Venezuela_moonset,Venezuela_sunrise,Venezuela_sunset,Venezuela_DewPointC,Venezuela_FeelsLikeC,Venezuela_HeatIndexC,Venezuela_WindChillC,Venezuela_WindGustKmph,Venezuela_cloudcover,Venezuela_humidity,Venezuela_precipMM,Venezuela_pressure,Venezuela_tempC,Venezuela_visibility,Venezuela_winddirDegree,Venezuela_windspeedKmph,Venezuela_location
2020-04-05,27,19,0.0,10.2,5,87,04:32 PM,04:22 AM,06:22 AM,06:38 PM,18,25,25,23,6,38,76,0.5,1010,27,10,85,4,Venezuela
2020-04-06,27,20,0.0,10.2,6,94,05:31 PM,05:12 AM,06:21 AM,06:38 PM,20,26,26,24,7,33,77,0.7,1012,27,10,99,5,Venezuela
2020-04-07,26,17,0.0,10.2,5,100,06:30 PM,06:01 AM,06:21 AM,06:38 PM,18,23,23,22,7,31,77,0.2,1012,26,10,91,5,Venezuela
2020-04-08,26,16,0.0,11.6,5,100,07:29 PM,06:50 AM,06:20 AM,06:38 PM,19,24,24,23,7,39,79,0.4,1011,26,9,86,5,Venezuela
2020-04-09,28,19,0.0,10.2,6,83,08:28 PM,07:41 AM,06:20 AM,06:38 PM,17,24,24,23,6,31,73,0.4,1010,28,10,108,4,Venezuela
2020-04-10,28,20,0.0,10.2,5,76,09:29 PM,08:32 AM,06:19 AM,06:38 PM,16,23,23,23,7,31,68,1.1,1011,28,10,105,4,Venezuela
2020-04-11,29,19,0.0,11.6,7,68,10:29 PM,09:26 AM,06:19 AM,06:38 PM,18,26,26,25,7,2,67,0.0,1012,29,10,106,5,Venezuela
2020-04-12,26,18,0.0,11.6,6,61,11:28 PM,10:20 AM,06:18 AM,06:38 PM,15,23,23,22,9,1,63,0.0,1014,26,10,94,6,Venezuela
2020-04-13,25,17,0.0,11.6,5,53,No moonrise,11:16 AM,06:17 AM,06:38 PM,16,23,23,22,8,12,70,0.1,1015,25,10,83,6,Venezuela
2020-04-14,26,16,0.0,11.6,6,46,12:24 AM,12:11 PM,06:17 AM,06:38 PM,14,21,21,20,10,5,71,0.0,1013,26,10,73,7,Venezuela
2020-04-15,26,17,0.0,10.2,5,38,01:16 AM,01:05 PM,06:16 AM,06:38 PM,15,21,21,20,10,33,74,0.2,1012,26,10,64,7,Venezuela
2020-04-16,24,16,0.0,8.9,5,30,02:05 AM,01:56 PM,06:16 AM,06:38 PM,16,19,19,19,10,43,81,3.1,1014,24,10,75,6,Venezuela
2020-04-17,25,15,0.0,8.9,5,23,02:49 AM,02:45 PM,06:15 AM,06:38 PM,16,19,20,19,9,34,77,4.0,1014,25,10,77,6,Venezuela
2020-04-18,24,16,0.0,8.9,5,15,03:31 AM,03:32 PM,06:15 AM,06:39 PM,17,23,23,21,9,58,74,1.4,1014,24,10,93,6,Venezuela
2020-04-19,23,16,0.0,7.5,5,8,04:09 AM,04:17 PM,06:14 AM,06:39 PM,15,19,20,19,10,58,77,2.1,1013,23,10,92,6,Venezuela
2020-04-20,24,16,0.0,7.5,5,0,04:47 AM,05:01 PM,06:14 AM,06:39 PM,18,20,21,20,9,62,85,4.5,1013,24,8,99,6,Venezuela
2020-04-21,24,16,0.0,6.1,5,0,05:24 AM,05:46 PM,06:14 AM,06:39 PM,19,23,23,21,6,83,84,6.2,1013,24,9,114,5,Venezuela
2020-04-22,25,18,0.0,7.5,5,0,06:01 AM,06:30 PM,06:13 AM,06:39 PM,20,24,24,22,6,58,82,12.8,1012,25,9,112,5,Venezuela
2020-04-23,25,18,0.0,11.6,6,0,06:39 AM,07:17 PM,06:13 AM,06:39 PM,18,24,24,22,11,20,78,0.0,1013,25,9,82,8,Venezuela
2020-04-24,25,17,0.0,11.6,6,7,07:19 AM,08:05 PM,06:12 AM,06:39 PM,15,22,22,21,11,21,76,0.1,1012,25,10,78,7,Venezuela
2020-04-25,24,17,0.0,6.1,5,15,08:02 AM,08:55 PM,06:12 AM,06:39 PM,18,23,23,21,11,66,79,1.4,1013,24,10,93,8,Venezuela
2020-04-26,24,16,0.0,7.5,5,22,08:47 AM,09:47 PM,06:11 AM,06:39 PM,17,22,22,21,11,50,78,0.7,1013,24,10,92,8,Venezuela
2020-04-27,24,17,0.0,8.9,5,30,09:37 AM,10:41 PM,06:11 AM,06:39 PM,18,23,23,21,10,51,81,1.5,1013,24,10,92,7,Venezuela
2020-04-28,25,14,0.0,8.9,5,37,10:30 AM,11:35 PM,06:11 AM,06:39 PM,17,21,21,20,11,34,77,1.3,1013,25,10,96,7,Venezuela
2020-04-29,25,15,0.0,8.9,5,45,11:26 AM,No moonset,06:10 AM,06:39 PM,17,22,22,21,8,47,75,0.7,1012,25,10,89,6,Venezuela
2020-04-30,25,16,0.0,8.9,5,52,12:23 PM,12:29 AM,06:10 AM,06:40 PM,18,24,24,22,6,34,71,1.1,1012,25,10,102,5,Venezuela
2020-05-01,26,19,0.0,8.9,5,58,01:21 PM,01:22 AM,06:09 AM,06:40 PM,18,24,24,23,7,40,73,0.9,1013,26,10,105,5,Venezuela
2020-05-02,26,18,0.0,8.9,5,65,02:18 PM,02:13 AM,06:09 AM,06:40 PM,17,22,22,21,11,47,80,3.6,1013,26,9,113,6,Venezuela
2020-05-03,26,16,0.0,11.6,5,72,03:15 PM,03:02 AM,06:09 AM,06:40 PM,19,24,24,23,9,37,78,1.6,1011,26,10,112,6,Venezuela
2020-05-04,27,19,0.0,10.2,5,80,04:12 PM,03:50 AM,06:08 AM,06:40 PM,17,23,23,22,11,35,78,0.3,1010,27,10,112,6,Venezuela
2020-05-05,26,19,0.0,6.2,5,87,05:10 PM,04:37 AM,06:08 AM,06:40 PM,18,24,24,23,9,68,79,2.1,1011,26,10,113,6,Venezuela
2020-05-06,26,19,0.0,10.2,5,94,06:09 PM,05:26 AM,06:08 AM,06:41 PM,17,23,23,22,13,35,76,1.3,1012,26,10,126,8,Venezuela
2020-05-07,25,18,0.0,10.2,5,100,07:09 PM,06:16 AM,06:08 AM,06:41 PM,17,23,23,22,15,35,75,0.5,1012,25,10,136,9,Venezuela
2020-05-08,26,18,0.0,11.6,6,100,08:10 PM,07:09 AM,06:07 AM,06:41 PM,15,23,23,22,15,10,68,0.0,1013,26,10,130,8,Venezuela
2020-05-09,26,18,0.0,11.6,6,84,09:12 PM,08:05 AM,06:07 AM,06:41 PM,15,22,22,22,13,12,72,0.0,1014,26,10,127,8,Venezuela
2020-05-10,26,18,0.0,8.9,5,77,10:11 PM,09:02 AM,06:07 AM,06:41 PM,17,23,23,22,10,40,76,0.3,1013,26,10,112,7,Venezuela
2020-05-11,26,17,0.0,11.6,5,70,11:07 PM,09:59 AM,06:07 AM,06:41 PM,15,21,21,21,9,25,73,0.1,1012,26,10,111,5,Venezuela
2020-05-12,25,18,0.0,7.5,5,62,11:59 PM,10:55 AM,06:06 AM,06:42 PM,17,20,21,20,10,48,80,4.1,1011,25,10,104,5,Venezuela
2020-05-13,25,17,0.0,6.2,5,55,No moonrise,11:49 AM,06:06 AM,06:42 PM,18,22,22,21,10,66,83,8.1,1012,25,9,103,6,Venezuela
2020-05-14,25,17,0.0,6.2,5,48,12:46 AM,12:40 PM,06:06 AM,06:42 PM,19,23,23,22,9,77,82,8.7,1012,25,9,108,6,Venezuela
2020-05-15,25,17,0.0,11.6,5,40,01:29 AM,01:28 PM,06:06 AM,06:42 PM,17,21,21,21,11,48,80,3.3,1013,25,10,124,6,Venezuela
2020-05-16,26,17,0.0,11.6,5,33,02:09 AM,02:14 PM,06:06 AM,06:42 PM,17,22,22,21,11,36,77,0.3,1012,26,10,131,6,Venezuela
2020-05-17,25,17,0.0,7.5,5,26,02:47 AM,02:59 PM,06:05 AM,06:43 PM,19,24,24,22,10,70,78,2.5,1012,25,10,123,7,Venezuela
2020-05-18,27,17,0.0,11.6,6,19,03:24 AM,03:43 PM,06:05 AM,06:43 PM,15,22,22,22,13,11,72,0.0,1013,27,10,131,7,Venezuela
2020-05-19,27,18,0.0,11.6,6,11,04:00 AM,04:27 PM,06:05 AM,06:43 PM,16,24,24,23,10,7,71,0.0,1013,27,10,120,6,Venezuela
2020-05-20,27,19,0.0,10.2,5,4,04:38 AM,05:13 PM,06:05 AM,06:43 PM,16,24,24,23,8,26,68,3.7,1012,27,9,118,5,Venezuela
2020-05-21,27,19,0.0,8.9,6,0,05:17 AM,06:01 PM,06:05 AM,06:44 PM,18,24,24,23,9,58,74,3.5,1012,27,10,134,6,Venezuela
2020-05-22,26,18,0.0,6.2,5,0,05:59 AM,06:50 PM,06:05 AM,06:44 PM,20,25,25,23,9,75,79,8.0,1012,26,9,132,6,Venezuela
2020-05-23,27,17,0.0,11.6,7,3,06:44 AM,07:43 PM,06:05 AM,06:44 PM,18,25,25,23,9,32,72,1.1,1012,27,10,132,6,Venezuela
2020-05-24,28,21,0.0,11.6,7,10,07:34 AM,08:36 PM,06:05 AM,06:44 PM,16,25,25,24,8,9,65,0.0,1012,28,10,126,5,Venezuela
2020-05-25,27,19,0.0,10.3,5,17,08:26 AM,09:32 PM,06:05 AM,06:45 PM,16,23,23,22,11,30,68,0.2,1012,27,10,153,6,Venezuela
2020-05-26,26,18,0.0,7.6,5,25,09:22 AM,10:26 PM,06:05 AM,06:45 PM,20,25,25,23,8,52,78,6.9,1011,26,9,150,5,Venezuela
