date_time,Peru_maxtempC,Peru_mintempC,Peru_totalSnow_cm,Peru_sunHour,Peru_uvIndex,Peru_moon_illumination,Peru_moonrise,Peru_moonset,Peru_sunrise,Peru_sunset,Peru_DewPointC,Peru_FeelsLikeC,Peru_HeatIndexC,Peru_WindChillC,Peru_WindGustKmph,Peru_cloudcover,Peru_humidity,Peru_precipMM,Peru_pressure,Peru_tempC,Peru_visibility,Peru_winddirDegree,Peru_windspeedKmph,Peru_location
2020-03-15,26,20,0.0,10.2,5,55,11:44 PM,11:56 AM,06:12 AM,06:21 PM,19,25,25,23,15,52,77,0.0,1016,26,10,185,12,Peru
2020-03-16,25,22,0.0,11.6,5,47,No moonrise,12:53 PM,06:12 AM,06:21 PM,19,26,26,24,16,56,76,0.0,1015,25,10,180,13,Peru
2020-03-17,26,22,0.0,10.2,5,40,12:37 AM,01:48 PM,06:12 AM,06:20 PM,19,26,26,24,17,51,76,0.2,1015,26,10,181,13,Peru
2020-03-18,26,22,0.0,11.6,6,33,01:31 AM,02:39 PM,06:12 AM,06:20 PM,19,26,26,24,15,38,72,0.1,1016,26,10,178,12,Peru
2020-03-19,25,22,0.0,11.6,5,25,02:24 AM,03:27 PM,06:12 AM,06:19 PM,19,25,25,23,16,44,75,0.0,1017,25,10,177,12,Peru
2020-03-20,25,21,0.0,11.6,6,18,03:16 AM,04:11 PM,06:12 AM,06:18 PM,18,25,25,23,13,47,74,0.0,1016,25,10,198,10,Peru
2020-03-21,26,22,0.0,11.6,5,11,04:05 AM,04:53 PM,06:12 AM,06:18 PM,18,26,26,24,12,35,70,0.0,1016,26,10,194,10,Peru
2020-03-22,26,22,0.0,11.6,6,4,04:52 AM,05:32 PM,06:12 AM,06:17 PM,18,26,26,24,16,8,69,0.0,1016,26,10,182,12,Peru
2020-03-23,25,21,0.0,11.6,6,0,05:39 AM,06:09 PM,06:12 AM,06:16 PM,18,25,25,23,18,19,73,0.0,1017,25,10,181,14,Peru
2020-03-24,25,21,0.0,11.6,5,0,06:24 AM,06:45 PM,06:12 AM,06:16 PM,19,24,24,23,17,41,78,0.0,1016,25,10,193,12,Peru
2020-03-25,24,21,0.0,8.8,5,3,07:09 AM,07:22 PM,06:12 AM,06:15 PM,19,24,24,22,16,79,80,0.1,1015,24,10,192,12,Peru
2020-03-26,24,21,0.0,8.8,5,11,07:54 AM,07:59 PM,06:12 AM,06:15 PM,18,23,23,22,15,69,81,0.0,1014,24,10,195,12,Peru
2020-03-27,24,20,0.0,10.2,5,18,08:40 AM,08:38 PM,06:12 AM,06:14 PM,18,24,24,22,15,38,78,0.0,1013,24,10,192,12,Peru
2020-03-28,24,21,0.0,11.6,6,25,09:28 AM,09:20 PM,06:12 AM,06:13 PM,18,24,24,22,15,42,78,0.0,1014,24,10,187,12,Peru
2020-03-29,25,21,0.0,11.6,6,32,10:18 AM,10:04 PM,06:12 AM,06:13 PM,18,25,25,23,14,20,76,0.0,1014,25,10,192,11,Peru
2020-03-30,24,20,0.0,11.6,6,40,11:10 AM,10:53 PM,06:12 AM,06:12 PM,18,24,24,22,13,38,78,0.0,1014,24,10,198,10,Peru
2020-03-31,24,21,0.0,11.6,6,44,12:04 PM,11:46 PM,06:12 AM,06:11 PM,18,23,23,22,13,40,80,0.0,1013,24,10,196,10,Peru
