date_time,Slovenia_maxtempC,Slovenia_mintempC,Slovenia_totalSnow_cm,Slovenia_sunHour,Slovenia_uvIndex,Slovenia_moon_illumination,Slovenia_moonrise,Slovenia_moonset,Slovenia_sunrise,Slovenia_sunset,Slovenia_DewPointC,Slovenia_FeelsLikeC,Slovenia_HeatIndexC,Slovenia_WindChillC,Slovenia_WindGustKmph,Slovenia_cloudcover,Slovenia_humidity,Slovenia_precipMM,Slovenia_pressure,Slovenia_tempC,Slovenia_visibility,Slovenia_winddirDegree,Slovenia_windspeedKmph,Slovenia_location
2020-03-26,3,-3,4.4,7.9,1,11,07:06 AM,08:26 PM,05:53 AM,06:23 PM,-1,-4,1,-4,26,99,86,6.2,1019,3,4,59,18,Slovenia
2020-03-27,7,-2,0.0,8.0,2,18,07:28 AM,09:29 PM,05:51 AM,06:24 PM,2,2,4,2,15,92,84,1.5,1018,7,10,53,9,Slovenia
2020-03-28,13,3,0.0,12.8,3,25,07:52 AM,10:33 PM,05:49 AM,06:25 PM,3,7,8,7,6,29,75,0.0,1016,13,10,174,4,Slovenia
2020-03-29,16,5,0.0,11.9,3,32,08:19 AM,11:37 PM,05:47 AM,06:27 PM,5,9,10,9,7,44,75,7.9,1013,16,10,176,5,Slovenia
2020-03-30,4,-0,0.7,8.0,1,40,08:53 AM,No moonset,05:45 AM,06:28 PM,0,-1,3,-1,22,96,82,6.0,1017,4,7,105,14,Slovenia
2020-03-31,5,-1,0.0,12.9,1,44,09:34 AM,12:40 AM,05:43 AM,06:29 PM,-8,-3,1,-3,22,33,53,0.1,1023,5,9,80,14,Slovenia
2020-04-01,7,-3,0.0,12.9,2,56,10:24 AM,01:40 AM,05:42 AM,06:31 PM,-6,2,2,2,5,22,61,0.0,1022,7,10,177,4,Slovenia
2020-04-02,11,-2,0.0,12.9,3,64,11:25 AM,02:34 AM,05:40 AM,06:32 PM,-6,5,5,5,5,3,52,0.0,1016,11,10,139,3,Slovenia
2020-04-03,14,0,0.0,13.0,4,71,12:34 PM,03:21 AM,05:38 AM,06:33 PM,-2,8,9,8,6,5,58,0.0,1014,14,10,201,4,Slovenia
2020-04-04,12,2,0.0,13.0,2,79,01:50 PM,04:02 AM,05:36 AM,06:35 PM,2,7,8,7,8,32,69,0.0,1023,12,10,174,6,Slovenia
2020-04-05,13,4,0.0,13.0,4,87,03:10 PM,04:36 AM,05:34 AM,06:36 PM,2,7,9,7,17,13,66,0.0,1027,13,10,65,12,Slovenia
2020-04-06,14,6,0.0,13.1,4,94,04:31 PM,05:06 AM,05:32 AM,06:37 PM,1,9,11,9,17,16,60,0.0,1028,14,10,74,11,Slovenia
2020-04-07,13,4,0.0,13.1,4,100,05:53 PM,05:34 AM,05:30 AM,06:39 PM,-1,8,10,8,12,0,58,0.0,1030,13,10,79,8,Slovenia
2020-04-08,15,3,0.0,13.1,4,100,07:15 PM,06:01 AM,05:28 AM,06:40 PM,-0,10,11,10,7,0,55,0.0,1029,15,10,147,5,Slovenia
2020-04-09,20,6,0.0,13.2,5,83,08:36 PM,06:29 AM,05:26 AM,06:41 PM,2,13,14,13,4,1,54,0.0,1024,20,10,175,3,Slovenia
2020-04-10,21,7,0.0,13.2,5,76,09:56 PM,07:00 AM,05:25 AM,06:43 PM,4,13,14,13,5,17,56,0.0,1023,21,10,181,3,Slovenia
