date_time,United%20Kingdom%2C%20England_maxtempC,United%20Kingdom%2C%20England_mintempC,United%20Kingdom%2C%20England_totalSnow_cm,United%20Kingdom%2C%20England_sunHour,United%20Kingdom%2C%20England_uvIndex,United%20Kingdom%2C%20England_moon_illumination,United%20Kingdom%2C%20England_moonrise,United%20Kingdom%2C%20England_moonset,United%20Kingdom%2C%20England_sunrise,United%20Kingdom%2C%20England_sunset,United%20Kingdom%2C%20England_DewPointC,United%20Kingdom%2C%20England_FeelsLikeC,United%20Kingdom%2C%20England_HeatIndexC,United%20Kingdom%2C%20England_WindChillC,United%20Kingdom%2C%20England_WindGustKmph,United%20Kingdom%2C%20England_cloudcover,United%20Kingdom%2C%20England_humidity,United%20Kingdom%2C%20England_precipMM,United%20Kingdom%2C%20England_pressure,United%20Kingdom%2C%20England_tempC,United%20Kingdom%2C%20England_visibility,United%20Kingdom%2C%20England_winddirDegree,United%20Kingdom%2C%20England_windspeedKmph,United%20Kingdom%2C%20England_location
2020-03-31,8,1,0.0,13.0,3,44,09:04 AM,01:12 AM,05:37 AM,06:34 PM,1,2,4,2,21,26,80,0.0,1033,8,10,35,13,United%20Kingdom%2C%20England
2020-04-01,8,1,0.0,9.4,2,56,09:53 AM,02:13 AM,05:35 AM,06:36 PM,1,3,5,3,16,62,75,0.1,1024,8,10,277,10,United%20Kingdom%2C%20England
2020-04-02,11,3,0.0,10.7,2,64,10:55 AM,03:07 AM,05:32 AM,06:38 PM,4,4,7,4,28,68,84,0.2,1016,11,10,279,18,United%20Kingdom%2C%20England
2020-04-03,8,0,0.0,12.0,2,71,12:09 PM,03:51 AM,05:30 AM,06:40 PM,-1,2,4,2,19,30,71,0.1,1018,8,10,283,12,United%20Kingdom%2C%20England
2020-04-04,13,2,0.0,10.7,2,79,01:32 PM,04:25 AM,05:28 AM,06:41 PM,4,5,7,5,23,40,82,0.1,1020,13,10,184,14,United%20Kingdom%2C%20England
2020-04-05,17,6,0.0,13.2,4,87,02:58 PM,04:53 AM,05:25 AM,06:43 PM,7,9,11,9,37,2,78,0.0,1013,17,10,161,22,United%20Kingdom%2C%20England
2020-04-06,15,8,0.0,13.2,3,94,04:26 PM,05:16 AM,05:23 AM,06:45 PM,8,10,12,10,28,42,76,0.4,1017,15,10,238,17,United%20Kingdom%2C%20England
2020-04-07,15,5,0.0,13.3,4,100,05:56 PM,05:37 AM,05:21 AM,06:47 PM,5,9,10,9,13,3,72,0.0,1029,15,10,217,8,United%20Kingdom%2C%20England
2020-04-08,17,10,0.0,12.0,3,100,07:25 PM,05:57 AM,05:18 AM,06:48 PM,9,13,13,13,10,67,78,0.0,1025,17,10,88,6,United%20Kingdom%2C%20England
2020-04-09,17,9,0.0,9.6,3,83,08:54 PM,06:18 AM,05:16 AM,06:50 PM,10,12,12,12,16,53,84,0.0,1027,17,9,54,10,United%20Kingdom%2C%20England
2020-04-10,18,7,0.0,13.4,4,76,10:21 PM,06:42 AM,05:14 AM,06:52 PM,9,11,12,11,19,20,81,0.0,1025,18,10,123,12,United%20Kingdom%2C%20England
2020-04-11,21,9,0.0,12.1,4,68,11:43 PM,07:11 AM,05:11 AM,06:54 PM,10,13,14,13,18,42,79,0.3,1022,21,10,210,10,United%20Kingdom%2C%20England
2020-04-12,18,10,0.0,12.1,3,61,No moonrise,07:47 AM,05:09 AM,06:55 PM,10,13,13,13,15,52,83,3.1,1014,18,10,195,9,United%20Kingdom%2C%20England
2020-04-13,8,2,0.0,13.3,2,53,12:55 AM,08:33 AM,05:07 AM,06:57 PM,2,2,6,2,35,41,75,1.4,1027,8,10,41,25,United%20Kingdom%2C%20England
2020-04-14,14,-0,0.0,13.5,3,46,01:55 AM,09:28 AM,05:05 AM,06:59 PM,1,5,6,5,11,12,71,0.0,1030,14,10,192,7,United%20Kingdom%2C%20England
2020-04-15,16,4,0.0,14.0,4,38,02:41 AM,10:31 AM,05:02 AM,07:01 PM,4,8,10,8,14,11,72,0.0,1024,16,10,187,8,United%20Kingdom%2C%20England
2020-04-16,17,5,0.0,14.0,4,30,03:16 AM,11:39 AM,05:00 AM,07:03 PM,6,10,10,10,13,7,76,0.0,1018,17,10,100,8,United%20Kingdom%2C%20England
2020-04-17,14,5,0.0,9.0,3,23,03:43 AM,12:48 PM,04:58 AM,07:04 PM,6,6,9,6,28,76,83,0.1,1018,14,10,65,19,United%20Kingdom%2C%20England
2020-04-18,8,6,0.0,9.1,2,15,04:04 AM,01:57 PM,04:56 AM,07:06 PM,5,4,7,4,22,89,86,7.7,1018,8,8,48,15,United%20Kingdom%2C%20England
2020-04-19,15,4,0.0,12.3,3,8,04:22 AM,03:06 PM,04:53 AM,07:08 PM,7,7,9,7,23,58,85,0.0,1021,15,7,41,15,United%20Kingdom%2C%20England
2020-04-20,13,5,0.0,14.5,4,0,04:37 AM,04:13 PM,04:51 AM,07:10 PM,4,5,9,5,35,0,75,0.0,1021,13,10,64,23,United%20Kingdom%2C%20England
2020-04-21,14,6,0.0,14.5,4,0,04:52 AM,05:21 PM,04:49 AM,07:11 PM,5,7,10,7,36,2,77,0.0,1020,14,10,63,23,United%20Kingdom%2C%20England
