date_time,Canada%2C%20Saskatchewan_maxtempC,Canada%2C%20Saskatchewan_mintempC,Canada%2C%20Saskatchewan_totalSnow_cm,Canada%2C%20Saskatchewan_sunHour,Canada%2C%20Saskatchewan_uvIndex,Canada%2C%20Saskatchewan_moon_illumination,Canada%2C%20Saskatchewan_moonrise,Canada%2C%20Saskatchewan_moonset,Canada%2C%20Saskatchewan_sunrise,Canada%2C%20Saskatchewan_sunset,Canada%2C%20Saskatchewan_DewPointC,Canada%2C%20Saskatchewan_FeelsLikeC,Canada%2C%20Saskatchewan_HeatIndexC,Canada%2C%20Saskatchewan_WindChillC,Canada%2C%20Saskatchewan_WindGustKmph,Canada%2C%20Saskatchewan_cloudcover,Canada%2C%20Saskatchewan_humidity,Canada%2C%20Saskatchewan_precipMM,Canada%2C%20Saskatchewan_pressure,Canada%2C%20Saskatchewan_tempC,Canada%2C%20Saskatchewan_visibility,Canada%2C%20Saskatchewan_winddirDegree,Canada%2C%20Saskatchewan_windspeedKmph,Canada%2C%20Saskatchewan_location
2020-03-03,-1,-6,0.0,10.1,1,58,11:48 AM,03:22 AM,07:37 AM,06:44 PM,-5,-9,-3,-9,30,53,87,0.0,1006,-1,10,286,17,Canada%2C%20Saskatchewan
2020-03-04,2,-5,0.1,10.1,1,65,12:35 PM,04:26 AM,07:35 AM,06:46 PM,-5,-7,-2,-7,33,42,80,0.1,1005,2,10,244,17,Canada%2C%20Saskatchewan
2020-03-05,-1,-5,0.1,10.1,1,73,01:35 PM,05:24 AM,07:33 AM,06:48 PM,-5,-8,-3,-8,27,67,90,0.2,1022,-1,8,252,16,Canada%2C%20Saskatchewan
2020-03-06,5,-2,0.0,11.2,1,80,02:47 PM,06:13 AM,07:31 AM,06:50 PM,-2,-3,1,-3,36,36,80,0.0,1013,5,10,201,19,Canada%2C%20Saskatchewan
2020-03-07,1,-3,0.0,5.6,1,87,04:08 PM,06:53 AM,07:28 AM,06:51 PM,-2,-5,-1,-5,23,79,91,0.0,1012,1,10,94,14,Canada%2C%20Saskatchewan
2020-03-08,-8,-14,0.6,5.6,1,95,05:34 PM,07:26 AM,07:26 AM,06:53 PM,-11,-16,-10,-16,21,99,89,2.1,1019,-8,8,189,16,Canada%2C%20Saskatchewan
2020-03-09,-7,-18,0.1,7.1,1,100,07:00 PM,07:54 AM,07:24 AM,06:55 PM,-13,-15,-12,-15,10,61,92,0.4,1025,-7,8,164,6,Canada%2C%20Saskatchewan
2020-03-10,1,-6,0.0,11.3,2,100,08:26 PM,08:18 AM,07:22 AM,06:56 PM,-7,-6,-3,-6,19,4,73,0.0,1021,1,10,200,10,Canada%2C%20Saskatchewan
2020-03-11,3,-2,0.0,10.1,2,84,09:52 PM,08:40 AM,07:20 AM,06:58 PM,-5,-6,-0,-6,39,45,71,0.1,1004,3,9,258,24,Canada%2C%20Saskatchewan
2020-03-12,-5,-9,0.0,8.8,1,76,11:16 PM,09:04 AM,07:18 AM,07:00 PM,-10,-14,-6,-14,41,75,75,0.5,1018,-5,7,318,31,Canada%2C%20Saskatchewan
2020-03-13,-13,-16,0.0,10.2,1,69,No moonrise,09:29 AM,07:15 AM,07:01 PM,-18,-22,-13,-22,25,45,68,0.0,1036,-13,10,235,20,Canada%2C%20Saskatchewan
2020-03-14,-11,-18,0.0,6.0,1,62,12:37 AM,09:58 AM,07:13 AM,07:03 PM,-17,-24,-14,-24,27,97,80,0.7,1043,-11,9,80,21,Canada%2C%20Saskatchewan
2020-03-15,-8,-13,0.9,7.4,1,55,01:55 AM,10:33 AM,07:11 AM,07:05 PM,-13,-16,-11,-16,15,77,84,1.1,1037,-8,8,193,11,Canada%2C%20Saskatchewan
2020-03-16,-7,-13,0.0,11.6,1,47,03:06 AM,11:16 AM,07:09 AM,07:06 PM,-13,-17,-10,-17,27,26,78,0.0,1029,-7,10,287,19,Canada%2C%20Saskatchewan
2020-03-17,-4,-10,0.0,8.8,1,40,04:07 AM,12:07 PM,07:07 AM,07:08 PM,-10,-12,-7,-12,18,59,82,0.0,1024,-4,10,165,12,Canada%2C%20Saskatchewan
2020-03-18,-9,-12,0.1,6.0,1,33,04:57 AM,01:06 PM,07:04 AM,07:09 PM,-12,-17,-10,-17,21,94,88,0.7,1024,-9,9,55,15,Canada%2C%20Saskatchewan
2020-03-19,-10,-14,0.9,10.2,1,25,05:37 AM,02:09 PM,07:02 AM,07:11 PM,-14,-19,-12,-19,18,62,84,1.1,1034,-10,7,95,14,Canada%2C%20Saskatchewan
2020-03-20,-8,-15,0.0,11.6,1,18,06:08 AM,03:16 PM,07:00 AM,07:13 PM,-15,-18,-12,-18,16,34,77,0.0,1039,-8,10,130,11,Canada%2C%20Saskatchewan
2020-03-21,-3,-11,0.0,11.6,1,11,06:33 AM,04:22 PM,06:58 AM,07:14 PM,-10,-13,-7,-13,22,50,82,0.0,1026,-3,10,179,13,Canada%2C%20Saskatchewan
2020-03-22,-0,-7,0.0,11.6,1,4,06:54 AM,05:29 PM,06:55 AM,07:16 PM,-7,-9,-4,-9,20,40,83,0.0,1021,-0,8,254,12,Canada%2C%20Saskatchewan
2020-03-23,4,-4,0.0,10.3,1,0,07:13 AM,06:34 PM,06:53 AM,07:18 PM,-4,-5,-0,-5,23,53,76,0.0,1011,4,10,161,15,Canada%2C%20Saskatchewan
2020-03-24,2,-4,0.0,6.3,1,0,07:30 AM,07:40 PM,06:51 AM,07:19 PM,-3,-5,0,-5,28,90,80,0.2,1006,2,9,266,19,Canada%2C%20Saskatchewan
2020-03-25,-2,-8,0.0,7.7,1,3,07:47 AM,08:45 PM,06:49 AM,07:21 PM,-9,-9,-5,-9,13,66,70,0.0,1017,-2,10,119,10,Canada%2C%20Saskatchewan
2020-03-26,4,-4,0.0,10.3,1,11,08:04 AM,09:51 PM,06:46 AM,07:23 PM,-5,-5,-1,-5,18,47,75,0.0,1009,4,9,223,12,Canada%2C%20Saskatchewan
2020-03-27,4,-1,0.0,11.6,2,18,08:23 AM,10:58 PM,06:44 AM,07:24 PM,-5,-3,1,-3,22,19,66,0.0,1008,4,10,251,14,Canada%2C%20Saskatchewan
2020-03-28,7,-0,0.0,11.6,2,25,08:44 AM,No moonset,06:42 AM,07:26 PM,-4,-1,3,-1,29,32,65,0.0,1011,7,10,172,19,Canada%2C%20Saskatchewan
2020-03-29,9,-1,0.0,10.3,1,32,09:11 AM,12:05 AM,06:40 AM,07:27 PM,0,0,4,0,22,58,79,0.0,1012,9,7,132,16,Canada%2C%20Saskatchewan
2020-03-30,15,5,0.0,10.3,3,40,09:44 AM,01:12 AM,06:38 AM,07:29 PM,0,7,9,7,33,47,55,0.1,1010,15,10,161,20,Canada%2C%20Saskatchewan
2020-03-31,7,-2,0.6,6.5,2,44,10:26 AM,02:16 AM,06:35 AM,07:31 PM,-0,1,5,1,31,77,70,2.0,1008,7,9,214,20,Canada%2C%20Saskatchewan
2020-04-01,-6,-10,0.0,10.3,1,56,11:19 AM,03:16 AM,06:33 AM,07:32 PM,-16,-15,-7,-15,29,44,51,0.0,1021,-6,10,308,24,Canada%2C%20Saskatchewan
2020-04-02,-7,-12,0.0,10.3,1,64,12:24 PM,04:06 AM,06:31 AM,07:34 PM,-18,-18,-10,-18,32,52,52,0.1,1026,-7,8,299,27,Canada%2C%20Saskatchewan
2020-04-03,-6,-13,0.0,11.6,2,71,01:39 PM,04:49 AM,06:29 AM,07:35 PM,-20,-14,-9,-14,15,2,41,0.0,1029,-6,10,270,12,Canada%2C%20Saskatchewan
2020-04-04,2,-8,0.0,6.6,1,79,03:01 PM,05:24 AM,06:27 AM,07:37 PM,-10,-9,-3,-9,28,77,57,0.5,1017,2,7,103,22,Canada%2C%20Saskatchewan
2020-04-05,3,-3,0.1,6.6,1,87,04:25 PM,05:52 AM,06:24 AM,07:39 PM,-4,-3,-1,-3,12,79,80,0.1,1016,3,10,124,9,Canada%2C%20Saskatchewan
2020-04-06,6,-1,0.0,6.6,1,94,05:52 PM,06:17 AM,06:22 AM,07:40 PM,-0,-3,2,-3,35,85,82,0.5,1007,6,10,143,25,Canada%2C%20Saskatchewan
2020-04-07,6,-1,0.0,9.1,1,100,07:18 PM,06:40 AM,06:20 AM,07:42 PM,-3,-2,2,-2,22,69,72,0.1,1004,6,9,309,17,Canada%2C%20Saskatchewan
2020-04-08,2,-2,0.0,7.9,1,100,08:45 PM,07:03 AM,06:18 AM,07:43 PM,-7,-8,-0,-8,45,68,63,0.2,1017,2,7,303,36,Canada%2C%20Saskatchewan
2020-04-09,1,-5,0.0,10.4,1,83,10:10 PM,07:27 AM,06:16 AM,07:45 PM,-10,-7,-2,-7,22,65,55,0.1,1023,1,9,296,17,Canada%2C%20Saskatchewan
2020-04-10,4,-1,0.0,6.7,1,76,11:34 PM,07:55 AM,06:14 AM,07:47 PM,-4,-2,2,-2,24,87,62,0.1,1013,4,10,265,16,Canada%2C%20Saskatchewan
2020-04-11,-2,-5,0.0,9.1,1,68,No moonrise,08:27 AM,06:12 AM,07:48 PM,-10,-10,-3,-10,34,74,56,0.1,1020,-2,10,334,28,Canada%2C%20Saskatchewan
2020-04-12,-3,-6,0.6,7.9,1,61,12:51 AM,09:08 AM,06:10 AM,07:50 PM,-12,-11,-5,-11,27,89,55,0.9,1025,-3,9,290,22,Canada%2C%20Saskatchewan
2020-04-13,-6,-9,0.0,6.7,1,53,01:59 AM,09:58 AM,06:07 AM,07:51 PM,-16,-15,-7,-15,28,86,51,0.1,1026,-6,10,339,24,Canada%2C%20Saskatchewan
2020-04-14,-2,-10,0.0,11.6,2,46,02:54 AM,10:55 AM,06:05 AM,07:53 PM,-15,-9,-6,-9,9,8,50,0.0,1023,-2,10,251,7,Canada%2C%20Saskatchewan
2020-04-15,1,-6,0.0,6.8,1,38,03:39 AM,11:59 AM,06:03 AM,07:54 PM,-11,-7,-2,-7,18,65,51,0.0,1023,1,10,256,15,Canada%2C%20Saskatchewan
2020-04-16,3,-4,0.1,6.8,1,30,04:12 AM,01:05 PM,06:01 AM,07:56 PM,-7,-5,-1,-5,18,71,63,0.2,1025,3,10,310,14,Canada%2C%20Saskatchewan
2020-04-17,10,-2,0.0,8.7,2,23,04:39 AM,02:12 PM,05:59 AM,07:58 PM,-3,-0,4,-0,28,79,63,0.2,1008,10,9,244,20,Canada%2C%20Saskatchewan
2020-04-18,3,0,0.0,12.2,1,15,05:02 AM,03:20 PM,05:57 AM,07:59 PM,-4,-4,2,-4,33,61,65,0.1,1011,3,9,326,26,Canada%2C%20Saskatchewan
2020-04-19,11,-2,0.0,13.4,3,8,05:21 AM,04:25 PM,05:55 AM,08:01 PM,-6,-0,4,-0,29,32,51,0.0,1010,11,10,279,23,Canada%2C%20Saskatchewan
2020-04-20,5,2,0.2,11.2,1,0,05:38 AM,05:31 PM,05:53 AM,08:02 PM,-4,-2,3,-2,27,57,64,0.5,1011,5,9,213,20,Canada%2C%20Saskatchewan
