date_time,Aruba_maxtempC,Aruba_mintempC,Aruba_totalSnow_cm,Aruba_sunHour,Aruba_uvIndex,Aruba_moon_illumination,Aruba_moonrise,Aruba_moonset,Aruba_sunrise,Aruba_sunset,Aruba_DewPointC,Aruba_FeelsLikeC,Aruba_HeatIndexC,Aruba_WindChillC,Aruba_WindGustKmph,Aruba_cloudcover,Aruba_humidity,Aruba_precipMM,Aruba_pressure,Aruba_tempC,Aruba_visibility,Aruba_winddirDegree,Aruba_windspeedKmph,Aruba_location
2020-03-15,26,22,0.0,6.0,6,55,No moonrise,11:47 AM,06:47 AM,06:51 PM,22,28,28,26,35,73,79,0.9,1014,26,10,64,26,Aruba
2020-03-16,26,25,0.0,6.0,6,47,12:58 AM,12:39 PM,06:46 AM,06:51 PM,22,28,28,26,41,69,79,6.9,1014,26,10,61,29,Aruba
2020-03-17,26,25,0.0,10.2,6,40,01:54 AM,01:33 PM,06:46 AM,06:51 PM,21,28,28,26,34,42,75,0.3,1014,26,10,64,25,Aruba
2020-03-18,26,24,0.0,7.4,6,33,02:47 AM,02:26 PM,06:45 AM,06:51 PM,22,28,28,25,35,67,78,1.8,1014,26,10,83,26,Aruba
2020-03-19,27,23,0.0,7.4,6,25,03:37 AM,03:19 PM,06:44 AM,06:51 PM,22,28,28,26,45,63,78,2.8,1015,27,10,79,32,Aruba
2020-03-20,27,26,0.0,7.4,6,18,04:22 AM,04:09 PM,06:44 AM,06:51 PM,22,29,29,26,41,66,77,3.1,1015,27,10,72,30,Aruba
2020-03-21,27,20,0.0,6.0,6,11,05:05 AM,04:58 PM,06:43 AM,06:51 PM,22,27,27,25,40,82,77,2.6,1015,27,10,66,30,Aruba
2020-03-22,27,25,0.0,6.0,6,4,05:45 AM,05:45 PM,06:43 AM,06:51 PM,22,29,29,26,47,66,78,13.5,1014,27,9,76,31,Aruba
2020-03-23,27,21,0.0,11.6,6,0,06:23 AM,06:31 PM,06:42 AM,06:51 PM,23,28,28,25,44,57,79,1.0,1015,27,10,80,32,Aruba
2020-03-24,27,26,0.0,10.2,6,0,07:00 AM,07:16 PM,06:41 AM,06:51 PM,22,29,29,26,49,46,78,0.3,1014,27,10,83,35,Aruba
2020-03-25,27,25,0.0,8.8,6,3,07:36 AM,08:01 PM,06:41 AM,06:51 PM,23,29,29,26,46,56,80,0.7,1012,27,10,88,33,Aruba
2020-03-26,27,25,0.0,11.6,6,11,08:12 AM,08:47 PM,06:40 AM,06:51 PM,23,29,29,26,43,48,80,0.9,1011,27,10,91,31,Aruba
2020-03-27,27,26,0.0,8.8,6,18,08:50 AM,09:34 PM,06:39 AM,06:51 PM,22,29,29,26,41,58,78,0.4,1011,27,10,86,30,Aruba
2020-03-28,27,21,0.0,7.4,6,25,09:30 AM,10:23 PM,06:39 AM,06:51 PM,22,28,28,25,44,70,78,1.4,1011,27,10,76,32,Aruba
2020-03-29,27,21,0.0,8.8,6,32,10:13 AM,11:14 PM,06:38 AM,06:51 PM,23,29,29,26,53,65,79,1.5,1013,27,10,85,38,Aruba
2020-03-30,27,23,0.0,6.1,6,40,10:59 AM,No moonset,06:37 AM,06:51 PM,23,29,29,26,54,59,78,1.6,1012,27,10,84,39,Aruba
2020-03-31,26,21,0.0,11.6,6,44,11:50 AM,12:07 AM,06:37 AM,06:51 PM,21,27,27,25,49,40,75,0.3,1010,26,10,90,36,Aruba
2020-04-01,27,23,0.0,11.6,6,56,12:45 PM,01:02 AM,06:36 AM,06:52 PM,23,29,29,26,48,44,80,0.1,1010,27,10,94,35,Aruba
2020-04-02,27,21,0.0,11.6,6,64,01:43 PM,01:58 AM,06:35 AM,06:52 PM,23,28,28,26,38,48,80,0.2,1011,27,10,87,28,Aruba
2020-04-03,27,26,0.0,8.8,6,71,02:42 PM,02:52 AM,06:35 AM,06:52 PM,23,30,30,27,33,58,82,0.2,1010,27,10,74,24,Aruba
2020-04-04,27,23,0.0,8.8,6,79,03:43 PM,03:46 AM,06:34 AM,06:52 PM,24,30,30,26,42,63,85,0.4,1009,27,10,78,29,Aruba
