date_time,Myanmar_maxtempC,Myanmar_mintempC,Myanmar_totalSnow_cm,Myanmar_sunHour,Myanmar_uvIndex,Myanmar_moon_illumination,Myanmar_moonrise,Myanmar_moonset,Myanmar_sunrise,Myanmar_sunset,Myanmar_DewPointC,Myanmar_FeelsLikeC,Myanmar_HeatIndexC,Myanmar_WindChillC,Myanmar_WindGustKmph,Myanmar_cloudcover,Myanmar_humidity,Myanmar_precipMM,Myanmar_pressure,Myanmar_tempC,Myanmar_visibility,Myanmar_winddirDegree,Myanmar_windspeedKmph,Myanmar_location
2020-02-22,36,24,0.0,11.6,8,0,05:35 AM,05:09 PM,06:28 AM,06:10 PM,11,31,31,30,14,10,35,0.0,1015,36,10,178,9,Myanmar
2020-02-23,36,23,0.0,11.6,8,0,06:17 AM,05:59 PM,06:27 AM,06:10 PM,12,29,29,29,18,7,36,0.0,1014,36,10,183,11,Myanmar
2020-02-24,37,22,0.0,11.6,8,0,06:56 AM,06:48 PM,06:27 AM,06:10 PM,11,30,30,29,20,13,35,0.0,1012,37,10,166,11,Myanmar
2020-02-25,38,22,0.0,11.6,8,8,07:34 AM,07:36 PM,06:26 AM,06:11 PM,10,31,31,30,19,4,32,0.0,1011,38,10,169,10,Myanmar
2020-02-26,39,22,0.0,11.6,8,15,08:09 AM,08:22 PM,06:26 AM,06:11 PM,9,29,29,29,15,13,30,0.0,1011,39,10,212,8,Myanmar
2020-02-27,38,22,0.0,11.6,8,23,08:43 AM,09:09 PM,06:25 AM,06:11 PM,11,29,29,29,15,11,37,0.0,1010,38,10,214,8,Myanmar
2020-02-28,39,21,0.0,11.6,8,30,09:18 AM,09:57 PM,06:24 AM,06:12 PM,12,29,29,29,16,4,38,0.0,1009,39,10,209,9,Myanmar
2020-02-29,38,22,0.0,11.6,8,38,09:55 AM,10:45 PM,06:24 AM,06:12 PM,11,32,32,31,17,9,34,0.0,1009,38,10,211,10,Myanmar
2020-03-01,38,23,0.0,11.6,8,44,10:32 AM,11:35 PM,06:23 AM,06:12 PM,13,31,31,30,17,6,40,0.0,1010,38,10,206,10,Myanmar
2020-03-02,37,22,0.0,11.6,8,51,11:14 AM,No moonset,06:22 AM,06:12 PM,13,31,31,30,17,10,40,0.0,1010,37,10,219,11,Myanmar
2020-03-03,37,22,0.0,11.6,8,58,12:00 PM,12:28 AM,06:22 AM,06:13 PM,14,30,30,29,17,10,44,0.0,1010,37,10,234,11,Myanmar
2020-03-04,36,21,0.0,11.6,8,65,12:51 PM,01:23 AM,06:21 AM,06:13 PM,15,30,30,29,18,7,51,0.0,1010,36,10,227,12,Myanmar
2020-03-05,36,20,0.0,11.6,8,73,01:47 PM,02:19 AM,06:20 AM,06:13 PM,17,30,30,28,17,5,58,0.0,1010,36,10,221,11,Myanmar
2020-03-06,36,22,0.0,11.6,8,80,02:47 PM,03:17 AM,06:20 AM,06:13 PM,15,30,30,28,18,4,51,0.0,1011,36,10,224,12,Myanmar
2020-03-07,38,21,0.0,11.6,8,87,03:50 PM,04:13 AM,06:19 AM,06:14 PM,16,32,32,30,14,1,56,0.0,1012,38,10,228,10,Myanmar
2020-03-08,40,21,0.0,11.6,8,95,04:54 PM,05:07 AM,06:18 AM,06:14 PM,16,32,32,30,15,0,56,0.0,1010,40,10,201,10,Myanmar
2020-03-09,39,21,0.0,11.6,8,100,05:58 PM,05:57 AM,06:17 AM,06:14 PM,15,32,32,30,18,3,50,0.0,1008,39,10,287,11,Myanmar
2020-03-10,36,20,0.0,11.6,8,100,07:00 PM,06:45 AM,06:17 AM,06:14 PM,17,30,30,28,16,1,60,0.0,1008,36,10,234,11,Myanmar
2020-03-11,37,21,0.0,11.6,8,84,08:02 PM,07:32 AM,06:16 AM,06:14 PM,15,30,30,29,17,0,54,0.0,1010,37,10,211,12,Myanmar
2020-03-12,37,21,0.0,11.6,8,76,09:03 PM,08:18 AM,06:15 AM,06:15 PM,15,31,31,29,18,0,56,0.0,1011,37,10,186,12,Myanmar
2020-03-13,38,22,0.0,11.6,8,69,10:04 PM,09:04 AM,06:15 AM,06:15 PM,16,32,32,30,19,0,52,0.0,1012,38,10,178,12,Myanmar
2020-03-14,42,23,0.0,11.6,9,62,11:04 PM,09:52 AM,06:14 AM,06:15 PM,16,35,35,33,16,0,48,0.0,1010,42,10,182,9,Myanmar
2020-03-15,41,23,0.0,11.6,9,55,No moonrise,10:41 AM,06:13 AM,06:15 PM,15,34,34,32,18,6,43,0.0,1010,41,10,220,11,Myanmar
2020-03-16,41,24,0.0,11.6,9,47,12:04 AM,11:33 AM,06:12 AM,06:15 PM,14,34,34,33,18,6,39,0.0,1011,41,10,222,11,Myanmar
2020-03-17,41,23,0.0,11.6,8,40,01:01 AM,12:25 PM,06:12 AM,06:16 PM,15,33,33,31,18,2,46,0.0,1011,41,10,230,11,Myanmar
2020-03-18,40,24,0.0,11.6,8,33,01:56 AM,01:19 PM,06:11 AM,06:16 PM,14,33,33,32,19,2,43,0.0,1010,40,10,262,12,Myanmar
2020-03-19,37,21,0.0,10.2,7,25,02:47 AM,02:12 PM,06:10 AM,06:16 PM,18,30,30,29,19,22,61,0.0,1009,37,10,220,13,Myanmar
2020-03-20,37,21,0.0,11.6,8,18,03:34 AM,03:05 PM,06:09 AM,06:16 PM,17,30,30,29,20,18,59,0.0,1010,37,10,204,13,Myanmar
2020-03-21,37,20,0.0,11.6,8,11,04:17 AM,03:56 PM,06:09 AM,06:16 PM,17,30,30,29,18,4,58,0.0,1011,37,10,218,12,Myanmar
2020-03-22,40,22,0.0,11.6,8,4,04:57 AM,04:45 PM,06:08 AM,06:16 PM,15,32,32,31,15,3,54,0.0,1010,40,10,246,10,Myanmar
2020-03-23,40,22,0.0,11.6,8,0,05:34 AM,05:33 PM,06:07 AM,06:17 PM,15,32,32,31,18,2,51,0.0,1009,40,10,244,12,Myanmar
2020-03-24,39,23,0.0,11.6,8,0,06:09 AM,06:19 PM,06:06 AM,06:17 PM,14,32,32,31,18,3,44,0.0,1008,39,10,243,12,Myanmar
2020-03-25,38,21,0.0,11.6,8,3,06:44 AM,07:06 PM,06:05 AM,06:17 PM,14,31,31,30,20,4,49,0.0,1008,38,10,219,14,Myanmar
2020-03-26,38,23,0.0,11.6,8,11,07:19 AM,07:53 PM,06:05 AM,06:17 PM,16,31,31,30,18,1,51,0.0,1009,38,10,197,12,Myanmar
2020-03-27,38,21,0.0,11.6,8,18,07:55 AM,08:41 PM,06:04 AM,06:17 PM,17,32,32,30,17,6,58,0.0,1010,38,10,216,12,Myanmar
2020-03-28,38,22,0.0,11.6,7,25,08:32 AM,09:31 PM,06:03 AM,06:17 PM,19,31,31,29,19,14,64,0.0,1009,38,9,213,13,Myanmar
2020-03-29,38,22,0.0,11.6,8,32,09:12 AM,10:22 PM,06:02 AM,06:18 PM,19,32,32,30,18,12,63,0.0,1008,38,10,211,13,Myanmar
2020-03-30,38,23,0.0,10.2,7,40,09:56 AM,11:16 PM,06:02 AM,06:18 PM,21,33,33,30,19,33,70,0.0,1009,38,9,207,13,Myanmar
2020-03-31,38,23,0.0,11.6,7,44,10:43 AM,No moonset,06:01 AM,06:18 PM,20,34,34,31,19,25,64,0.0,1009,38,9,209,14,Myanmar
2020-04-01,39,22,0.0,12.2,8,56,11:36 AM,12:10 AM,06:00 AM,06:18 PM,17,32,32,31,20,6,56,0.0,1009,39,10,208,14,Myanmar
2020-04-02,39,22,0.0,12.6,8,64,12:32 PM,01:05 AM,05:59 AM,06:18 PM,17,33,33,31,18,6,55,0.0,1009,39,10,213,12,Myanmar
