date_time,United%20Kingdom_maxtempC,United%20Kingdom_mintempC,United%20Kingdom_totalSnow_cm,United%20Kingdom_sunHour,United%20Kingdom_uvIndex,United%20Kingdom_moon_illumination,United%20Kingdom_moonrise,United%20Kingdom_moonset,United%20Kingdom_sunrise,United%20Kingdom_sunset,United%20Kingdom_DewPointC,United%20Kingdom_FeelsLikeC,United%20Kingdom_HeatIndexC,United%20Kingdom_WindChillC,United%20Kingdom_WindGustKmph,United%20Kingdom_cloudcover,United%20Kingdom_humidity,United%20Kingdom_precipMM,United%20Kingdom_pressure,United%20Kingdom_tempC,United%20Kingdom_visibility,United%20Kingdom_winddirDegree,United%20Kingdom_windspeedKmph,United%20Kingdom_location
2020-04-19,16,8,0.0,10.8,3,8,04:15 AM,03:44 PM,05:25 AM,06:49 PM,7,10,11,10,18,74,78,1.6,1009,16,10,165,12,United%20Kingdom
2020-04-20,17,5,0.0,12.0,3,0,04:40 AM,04:40 PM,05:24 AM,06:50 PM,7,10,11,10,15,33,78,4.2,1010,17,9,162,9,United%20Kingdom
2020-04-21,14,6,0.0,13.3,4,0,05:04 AM,05:38 PM,05:22 AM,06:51 PM,4,9,10,9,19,5,68,0.2,1016,14,10,262,12,United%20Kingdom
2020-04-22,17,7,0.0,10.8,3,0,05:29 AM,06:35 PM,05:21 AM,06:52 PM,8,10,11,10,21,50,82,4.2,1012,17,9,154,14,United%20Kingdom
2020-04-23,17,12,0.0,8.3,3,0,05:55 AM,07:34 PM,05:20 AM,06:53 PM,12,12,13,12,27,88,90,34.5,1000,17,7,214,19,United%20Kingdom
2020-04-24,18,11,0.0,9.6,4,7,06:23 AM,08:33 PM,05:18 AM,06:54 PM,12,14,14,14,14,55,90,14.7,1005,18,7,232,8,United%20Kingdom
2020-04-25,13,10,0.0,9.6,3,15,06:55 AM,09:34 PM,05:17 AM,06:55 PM,10,10,12,10,29,80,87,27.8,1009,13,9,341,21,United%20Kingdom
2020-04-26,17,6,0.0,13.4,3,22,07:33 AM,10:34 PM,05:16 AM,06:56 PM,6,10,12,10,16,7,75,0.0,1020,17,7,277,10,United%20Kingdom
2020-04-27,16,10,0.0,8.4,3,30,08:16 AM,11:32 PM,05:14 AM,06:57 PM,10,12,13,12,24,71,83,10.7,1017,16,8,173,15,United%20Kingdom
2020-04-28,20,13,0.0,9.6,4,37,09:07 AM,No moonset,05:13 AM,06:58 PM,15,16,17,16,25,83,92,5.2,1009,20,10,224,15,United%20Kingdom
2020-04-29,10,3,0.0,8.4,2,45,10:04 AM,12:26 AM,05:12 AM,06:59 PM,9,8,10,8,30,81,92,6.8,1007,10,9,303,19,United%20Kingdom
2020-04-30,17,6,0.0,13.9,4,52,11:09 AM,01:15 AM,05:11 AM,07:00 PM,7,10,12,10,26,18,76,0.3,1015,17,10,299,18,United%20Kingdom
2020-05-01,22,9,0.0,13.3,5,58,12:17 PM,01:58 AM,05:09 AM,07:01 PM,11,15,16,15,17,25,79,0.0,1013,22,10,185,11,United%20Kingdom
2020-05-02,26,16,0.0,11.0,5,65,01:28 PM,02:36 AM,05:08 AM,07:02 PM,17,20,21,20,17,60,83,7.1,1012,26,10,180,10,United%20Kingdom
2020-05-03,18,14,0.0,11.0,4,72,02:40 PM,03:11 AM,05:07 AM,07:03 PM,13,15,16,15,20,58,86,6.7,1014,18,8,52,14,United%20Kingdom
2020-05-04,16,10,0.0,11.0,3,80,03:54 PM,03:44 AM,05:06 AM,07:04 PM,9,11,13,11,24,58,82,7.8,1014,16,9,106,15,United%20Kingdom
2020-05-05,17,13,0.0,9.9,4,87,05:08 PM,04:15 AM,05:05 AM,07:05 PM,12,14,15,14,26,75,86,6.6,1012,17,8,277,19,United%20Kingdom
2020-05-06,15,5,0.0,8.8,3,94,06:23 PM,04:48 AM,05:04 AM,07:06 PM,7,10,11,10,10,70,83,2.2,1020,15,7,284,7,United%20Kingdom
2020-05-07,17,6,0.0,12.2,3,100,07:39 PM,05:23 AM,05:03 AM,07:07 PM,8,10,12,10,14,54,82,5.7,1019,17,7,220,9,United%20Kingdom
2020-05-08,12,8,0.0,11.1,3,100,08:52 PM,06:03 AM,05:01 AM,07:08 PM,5,7,10,7,29,71,76,34.5,1017,12,9,176,21,United%20Kingdom
2020-05-09,13,2,0.0,12.2,2,84,10:02 PM,06:48 AM,05:00 AM,07:09 PM,2,7,8,7,11,31,67,0.0,1025,13,10,210,7,United%20Kingdom
2020-05-10,13,5,0.0,12.3,2,77,11:04 PM,07:39 AM,04:59 AM,07:10 PM,5,6,9,6,28,48,75,0.4,1021,13,10,280,19,United%20Kingdom
2020-05-11,12,2,0.0,12.3,3,70,11:57 PM,08:35 AM,04:58 AM,07:11 PM,2,5,7,5,18,30,71,0.0,1026,12,10,305,11,United%20Kingdom
2020-05-12,8,6,0.0,9.1,2,62,No moonrise,09:36 AM,04:57 AM,07:12 PM,5,6,7,6,11,92,89,2.1,1024,8,4,183,8,United%20Kingdom
2020-05-13,15,6,0.0,9.1,3,55,12:41 AM,10:36 AM,04:56 AM,07:13 PM,10,8,10,8,24,95,95,2.6,1019,15,9,129,16,United%20Kingdom
2020-05-14,25,13,0.0,10.2,5,48,01:19 AM,11:38 AM,04:56 AM,07:14 PM,17,19,20,19,33,69,87,6.8,1011,25,9,193,21,United%20Kingdom
2020-05-15,23,17,0.0,9.1,5,40,01:51 AM,12:37 PM,04:55 AM,07:14 PM,18,20,21,20,20,80,89,11.1,1012,23,8,154,13,United%20Kingdom
2020-05-16,22,13,0.0,9.1,4,33,02:19 AM,01:36 PM,04:54 AM,07:15 PM,16,17,18,17,18,61,89,7.9,1013,22,8,96,10,United%20Kingdom
2020-05-17,24,17,0.0,12.4,5,26,02:44 AM,02:33 PM,04:53 AM,07:16 PM,16,20,21,20,20,59,83,0.2,1012,24,6,242,14,United%20Kingdom
