date_time,Oman_maxtempC,Oman_mintempC,Oman_totalSnow_cm,Oman_sunHour,Oman_uvIndex,Oman_moon_illumination,Oman_moonrise,Oman_moonset,Oman_sunrise,Oman_sunset,Oman_DewPointC,Oman_FeelsLikeC,Oman_HeatIndexC,Oman_WindChillC,Oman_WindGustKmph,Oman_cloudcover,Oman_humidity,Oman_precipMM,Oman_pressure,Oman_tempC,Oman_visibility,Oman_winddirDegree,Oman_windspeedKmph,Oman_location
2020-03-30,28,25,0.0,9.0,6,40,09:48 AM,11:35 PM,06:00 AM,06:21 PM,17,27,27,26,17,57,56,2.6,1009,28,10,240,10,Oman
2020-03-31,25,21,0.0,12.6,6,44,10:35 AM,No moonset,05:59 AM,06:21 PM,16,25,25,23,14,5,62,1.0,1012,25,10,248,10,Oman
2020-04-01,26,22,0.0,12.6,6,56,11:28 AM,12:30 AM,05:58 AM,06:21 PM,14,25,25,24,9,0,54,0.0,1013,26,10,61,6,Oman
2020-04-02,27,23,0.0,12.7,7,64,12:25 PM,01:26 AM,05:57 AM,06:22 PM,17,27,27,25,9,1,59,0.0,1012,27,10,75,6,Oman
2020-04-03,29,24,0.0,12.7,7,71,01:27 PM,02:19 AM,05:56 AM,06:22 PM,17,28,28,27,12,0,55,0.0,1012,29,10,85,7,Oman
2020-04-04,32,25,0.0,12.7,7,79,02:30 PM,03:10 AM,05:55 AM,06:22 PM,15,29,29,28,11,1,46,0.0,1013,32,10,160,6,Oman
2020-04-05,32,26,0.0,12.7,7,87,03:36 PM,03:58 AM,05:54 AM,06:23 PM,15,29,29,29,15,4,43,0.0,1013,32,10,174,7,Oman
2020-04-06,29,27,0.0,12.7,7,94,04:41 PM,04:43 AM,05:53 AM,06:23 PM,15,28,28,28,13,7,45,0.0,1012,29,10,259,8,Oman
2020-04-07,28,25,0.0,12.7,7,100,05:47 PM,05:26 AM,05:52 AM,06:24 PM,15,27,27,26,20,0,50,0.0,1012,28,10,296,13,Oman
2020-04-08,31,24,0.0,12.7,7,100,06:52 PM,06:08 AM,05:51 AM,06:24 PM,14,28,28,28,12,2,44,0.0,1011,31,10,122,7,Oman
2020-04-09,31,26,0.0,12.7,7,83,07:58 PM,06:51 AM,05:50 AM,06:24 PM,16,29,29,29,24,0,47,0.0,1012,31,10,112,14,Oman
2020-04-10,31,27,0.0,12.8,8,76,09:04 PM,07:37 AM,05:49 AM,06:25 PM,18,30,30,29,30,7,50,0.0,1012,31,10,119,18,Oman
2020-04-11,32,29,0.0,10.6,7,68,10:09 PM,08:24 AM,05:48 AM,06:25 PM,19,32,32,30,26,67,51,0.0,1012,32,10,121,16,Oman
2020-04-12,29,26,0.0,12.8,7,61,11:11 PM,09:15 AM,05:47 AM,06:26 PM,19,30,30,28,15,26,56,0.0,1012,29,10,120,10,Oman
2020-04-13,29,23,0.0,12.8,7,53,No moonrise,10:08 AM,05:47 AM,06:26 PM,19,29,29,27,10,32,58,0.0,1011,29,10,232,7,Oman
2020-04-14,29,24,0.0,12.8,7,46,12:09 AM,11:04 AM,05:46 AM,06:26 PM,20,29,29,27,18,17,64,0.0,1011,29,10,185,13,Oman
2020-04-15,30,27,0.0,12.8,7,38,01:02 AM,11:59 AM,05:45 AM,06:27 PM,18,30,30,28,18,11,54,0.0,1012,30,10,161,11,Oman
2020-04-16,28,24,0.0,12.8,7,30,01:50 AM,12:54 PM,05:44 AM,06:27 PM,19,29,29,27,13,15,62,0.0,1010,28,10,231,9,Oman
2020-04-17,28,25,0.0,12.9,7,23,02:32 AM,01:48 PM,05:43 AM,06:28 PM,20,29,29,27,12,12,68,0.0,1010,28,10,164,10,Oman
2020-04-18,28,25,0.0,12.9,7,15,03:10 AM,02:40 PM,05:42 AM,06:28 PM,20,28,28,26,13,10,69,0.0,1011,28,10,164,10,Oman
2020-04-19,29,26,0.0,12.9,7,8,03:46 AM,03:31 PM,05:41 AM,06:28 PM,20,30,30,28,17,3,63,0.0,1010,29,10,109,12,Oman
2020-04-20,32,27,0.0,12.9,8,0,04:18 AM,04:20 PM,05:40 AM,06:29 PM,18,31,31,30,17,9,49,0.0,1010,32,10,136,10,Oman
2020-04-21,32,27,0.0,12.9,8,0,04:50 AM,05:10 PM,05:40 AM,06:29 PM,19,31,31,30,15,11,52,0.0,1010,32,10,183,9,Oman
2020-04-22,30,27,0.0,12.9,7,0,05:22 AM,05:59 PM,05:39 AM,06:30 PM,20,31,31,29,16,15,60,0.0,1010,30,10,269,10,Oman
2020-04-23,32,27,0.0,12.9,7,0,05:55 AM,06:50 PM,05:38 AM,06:30 PM,18,31,31,29,15,8,51,0.0,1010,32,10,241,10,Oman
