date_time,Italy_maxtempC,Italy_mintempC,Italy_totalSnow_cm,Italy_sunHour,Italy_uvIndex,Italy_moon_illumination,Italy_moonrise,Italy_moonset,Italy_sunrise,Italy_sunset,Italy_DewPointC,Italy_FeelsLikeC,Italy_HeatIndexC,Italy_WindChillC,Italy_WindGustKmph,Italy_cloudcover,Italy_humidity,Italy_precipMM,Italy_pressure,Italy_tempC,Italy_visibility,Italy_winddirDegree,Italy_windspeedKmph,Italy_location
2020-03-04,15,7,0.0,11.6,4,65,12:05 PM,02:42 AM,06:40 AM,06:04 PM,3,10,11,10,13,24,61,0.3,1008,15,10,137,9,Italy
2020-03-05,13,7,0.0,11.6,4,73,01:02 PM,03:41 AM,06:38 AM,06:05 PM,4,9,10,9,14,27,65,0.0,1011,13,10,127,10,Italy
2020-03-06,15,11,0.0,8.7,3,80,02:07 PM,04:35 AM,06:36 AM,06:07 PM,6,11,12,11,31,71,67,6.8,1001,15,10,219,23,Italy
2020-03-07,15,9,0.0,8.7,3,87,03:20 PM,05:24 AM,06:35 AM,06:08 PM,5,11,12,11,14,64,63,5.0,1006,15,10,233,9,Italy
2020-03-08,15,7,0.0,11.6,4,95,04:37 PM,06:05 AM,06:33 AM,06:09 PM,1,9,11,9,18,10,52,0.0,1017,15,10,143,12,Italy
2020-03-09,13,9,0.0,5.9,3,100,05:55 PM,06:42 AM,06:31 AM,06:10 PM,2,9,11,9,16,58,56,1.4,1014,13,10,106,12,Italy
2020-03-10,16,8,0.0,11.6,4,100,07:13 PM,07:15 AM,06:30 AM,06:11 PM,3,11,11,11,9,21,59,0.5,1016,16,10,117,6,Italy
2020-03-11,16,9,0.0,11.6,4,84,08:30 PM,07:46 AM,06:28 AM,06:12 PM,5,12,13,12,7,6,59,0.0,1022,16,10,153,5,Italy
2020-03-12,18,11,0.0,11.6,5,76,09:47 PM,08:16 AM,06:26 AM,06:13 PM,6,15,14,15,7,19,58,0.0,1023,18,10,219,5,Italy
2020-03-13,18,10,0.0,11.6,5,69,11:02 PM,08:48 AM,06:25 AM,06:15 PM,9,14,14,14,8,16,74,0.0,1017,18,10,153,6,Italy
2020-03-14,16,12,0.0,8.8,3,62,No moonrise,09:24 AM,06:23 AM,06:16 PM,10,14,14,14,9,41,78,0.0,1014,16,10,150,7,Italy
2020-03-15,17,10,0.0,8.8,3,55,12:14 AM,10:03 AM,06:21 AM,06:17 PM,8,12,13,12,10,37,71,0.1,1017,17,10,110,7,Italy
2020-03-16,18,10,0.0,11.6,5,47,01:22 AM,10:48 AM,06:20 AM,06:18 PM,6,14,14,14,7,9,58,0.0,1023,18,10,117,6,Italy
2020-03-17,18,12,0.0,11.6,5,40,02:23 AM,11:38 AM,06:18 AM,06:19 PM,6,15,15,15,8,0,56,0.0,1028,18,10,181,6,Italy
2020-03-18,18,11,0.0,11.6,5,33,03:17 AM,12:33 PM,06:16 AM,06:20 PM,7,14,14,14,10,8,63,0.0,1026,18,10,209,7,Italy
2020-03-19,19,13,0.0,11.6,5,25,04:03 AM,01:32 PM,06:14 AM,06:21 PM,8,15,15,15,7,4,62,0.0,1024,19,10,126,6,Italy
2020-03-20,18,12,0.0,11.6,5,18,04:41 AM,02:32 PM,06:13 AM,06:22 PM,7,15,14,15,7,6,60,0.0,1023,18,10,186,5,Italy
2020-03-21,19,11,0.0,11.6,5,11,05:14 AM,03:34 PM,06:11 AM,06:24 PM,5,14,14,14,7,5,55,0.0,1016,19,10,136,6,Italy
2020-03-22,18,12,0.0,7.5,4,4,05:43 AM,04:33 PM,06:09 AM,06:25 PM,6,14,14,14,8,67,59,1.7,1013,18,9,192,5,Italy
2020-03-23,14,8,0.0,6.1,3,0,06:08 AM,05:33 PM,06:08 AM,06:26 PM,2,10,11,10,12,74,55,1.6,1020,14,10,113,9,Italy
2020-03-24,12,4,0.0,11.6,3,0,06:31 AM,06:32 PM,06:06 AM,06:27 PM,-6,5,8,5,21,19,38,0.1,1021,12,10,57,16,Italy
2020-03-25,13,3,0.0,11.6,3,3,06:54 AM,07:31 PM,06:04 AM,06:28 PM,-5,6,8,6,13,23,41,0.0,1014,13,10,128,9,Italy
2020-03-26,16,5,0.0,6.1,3,11,07:18 AM,08:30 PM,06:03 AM,06:29 PM,2,8,10,8,23,80,59,9.6,1003,16,8,74,16,Italy
2020-03-27,17,9,0.0,8.9,3,18,07:42 AM,09:30 PM,06:01 AM,06:30 PM,5,11,12,11,12,59,62,0.2,1008,17,10,106,9,Italy
2020-03-28,16,9,0.0,11.9,3,25,08:08 AM,10:31 PM,05:59 AM,06:31 PM,7,12,12,12,8,68,72,1.4,1014,16,9,201,6,Italy
2020-03-29,16,10,0.0,12.7,3,32,08:39 AM,11:33 PM,05:58 AM,06:32 PM,8,13,13,13,8,42,75,0.2,1014,16,10,178,6,Italy
