date_time,Mali_maxtempC,Mali_mintempC,Mali_totalSnow_cm,Mali_sunHour,Mali_uvIndex,Mali_moon_illumination,Mali_moonrise,Mali_moonset,Mali_sunrise,Mali_sunset,Mali_DewPointC,Mali_FeelsLikeC,Mali_HeatIndexC,Mali_WindChillC,Mali_WindGustKmph,Mali_cloudcover,Mali_humidity,Mali_precipMM,Mali_pressure,Mali_tempC,Mali_visibility,Mali_winddirDegree,Mali_windspeedKmph,Mali_location
2020-03-03,39,21,0.0,11.6,8,58,12:48 PM,01:03 AM,06:46 AM,06:41 PM,-11,30,30,30,17,0,7,0.0,1012,39,10,46,11,Mali
2020-03-04,40,20,0.0,11.6,8,65,01:42 PM,01:58 AM,06:46 AM,06:41 PM,-9,31,31,31,20,0,7,0.0,1012,40,10,63,13,Mali
2020-03-05,40,22,0.0,11.6,8,73,02:38 PM,02:55 AM,06:45 AM,06:41 PM,-9,31,31,32,19,0,7,0.0,1010,40,10,55,12,Mali
2020-03-06,39,21,0.0,11.6,8,80,03:39 PM,03:52 AM,06:45 AM,06:42 PM,-10,30,30,31,13,0,7,0.0,1009,39,10,84,8,Mali
2020-03-07,39,23,0.0,11.6,8,87,04:41 PM,04:48 AM,06:44 AM,06:42 PM,-12,30,30,31,11,0,6,0.0,1008,39,10,148,7,Mali
2020-03-08,39,23,0.0,11.6,8,95,05:44 PM,05:43 AM,06:43 AM,06:42 PM,-11,31,31,31,11,0,6,0.0,1009,39,10,122,7,Mali
2020-03-09,39,23,0.0,11.6,8,100,06:45 PM,06:34 AM,06:43 AM,06:42 PM,-9,31,31,32,12,1,7,0.0,1009,39,10,111,7,Mali
2020-03-10,39,22,0.0,11.6,8,100,07:46 PM,07:24 AM,06:42 AM,06:42 PM,-9,30,30,31,18,11,7,0.0,1009,39,10,47,12,Mali
2020-03-11,38,22,0.0,11.6,8,84,08:45 PM,08:12 AM,06:42 AM,06:42 PM,-9,28,28,30,20,35,8,0.0,1009,38,10,36,12,Mali
2020-03-12,39,23,0.0,11.6,8,76,09:44 PM,09:00 AM,06:41 AM,06:42 PM,-11,31,31,32,18,32,6,0.0,1009,39,10,72,12,Mali
2020-03-13,40,22,0.0,11.6,8,69,10:43 PM,09:48 AM,06:40 AM,06:42 PM,-9,31,31,31,22,7,8,0.0,1008,40,10,43,14,Mali
2020-03-14,40,22,0.0,11.6,8,62,11:42 PM,10:38 AM,06:40 AM,06:42 PM,-7,31,31,31,20,6,8,0.0,1009,40,10,24,12,Mali
2020-03-15,39,23,0.0,11.6,8,55,No moonrise,11:29 AM,06:39 AM,06:42 PM,-7,31,31,31,13,4,9,0.0,1009,39,10,232,8,Mali
2020-03-16,40,24,0.0,11.6,8,47,12:40 AM,12:22 PM,06:38 AM,06:42 PM,-3,32,32,33,9,0,10,0.0,1007,40,10,217,6,Mali
2020-03-17,41,24,0.0,11.6,8,40,01:36 AM,01:16 PM,06:38 AM,06:43 PM,-3,33,33,33,13,0,11,0.0,1007,41,10,195,8,Mali
2020-03-18,42,24,0.0,11.6,9,33,02:30 AM,02:09 PM,06:37 AM,06:43 PM,-2,34,34,34,10,1,11,0.0,1007,42,10,225,5,Mali
2020-03-19,40,24,0.0,11.6,8,25,03:20 AM,03:02 PM,06:36 AM,06:43 PM,-0,33,33,33,15,0,13,0.0,1008,40,10,313,10,Mali
2020-03-20,41,24,0.0,11.6,8,18,04:07 AM,03:53 PM,06:36 AM,06:43 PM,-0,32,32,33,18,0,13,0.0,1008,41,10,209,11,Mali
2020-03-21,40,25,0.0,11.6,8,11,04:50 AM,04:41 PM,06:35 AM,06:43 PM,6,32,32,33,19,4,18,0.0,1007,40,10,108,13,Mali
2020-03-22,39,25,0.0,11.6,8,4,05:31 AM,05:29 PM,06:34 AM,06:43 PM,15,32,32,32,16,10,39,0.0,1008,39,10,208,10,Mali
2020-03-23,39,26,0.0,11.6,8,0,06:08 AM,06:15 PM,06:34 AM,06:43 PM,12,33,33,33,17,6,29,0.0,1008,39,10,229,12,Mali
2020-03-24,38,25,0.0,11.6,8,0,06:45 AM,07:00 PM,06:33 AM,06:43 PM,4,31,31,32,19,3,21,0.0,1009,38,10,301,13,Mali
2020-03-25,37,22,0.0,11.6,8,3,07:21 AM,07:46 PM,06:32 AM,06:43 PM,2,30,30,30,13,2,18,0.0,1009,37,10,108,8,Mali
2020-03-26,38,24,0.0,10.2,8,11,07:58 AM,08:31 PM,06:32 AM,06:43 PM,4,31,31,32,14,26,19,0.0,1008,38,10,94,10,Mali
2020-03-27,38,25,0.0,11.6,8,18,08:35 AM,09:18 PM,06:31 AM,06:43 PM,10,32,32,32,13,30,28,0.3,1008,38,10,201,9,Mali
2020-03-28,39,28,0.0,11.6,8,25,09:15 AM,10:06 PM,06:30 AM,06:43 PM,14,34,34,33,14,24,34,0.0,1009,39,10,223,9,Mali
2020-03-29,35,27,0.0,11.6,8,32,09:57 AM,10:57 PM,06:30 AM,06:43 PM,14,31,31,31,14,40,40,0.3,1010,35,10,142,10,Mali
