date_time,Zambia_maxtempC,Zambia_mintempC,Zambia_totalSnow_cm,Zambia_sunHour,Zambia_uvIndex,Zambia_moon_illumination,Zambia_moonrise,Zambia_moonset,Zambia_sunrise,Zambia_sunset,Zambia_DewPointC,Zambia_FeelsLikeC,Zambia_HeatIndexC,Zambia_WindChillC,Zambia_WindGustKmph,Zambia_cloudcover,Zambia_humidity,Zambia_precipMM,Zambia_pressure,Zambia_tempC,Zambia_visibility,Zambia_winddirDegree,Zambia_windspeedKmph,Zambia_location
2020-07-06,23,9,0.0,8.7,5,100,07:09 PM,07:35 AM,06:34 AM,05:49 PM,2,15,16,15,16,0,46,0.0,1019,23,10,102,10,Zambia
2020-07-07,23,10,0.0,8.7,5,85,08:04 PM,08:26 AM,06:34 AM,05:50 PM,4,16,17,16,19,4,48,0.0,1018,23,10,92,12,Zambia
2020-07-08,24,12,0.0,8.7,6,77,08:57 PM,09:12 AM,06:34 AM,05:50 PM,9,18,19,18,21,15,59,0.0,1018,24,10,93,14,Zambia
2020-07-09,26,13,0.0,8.7,6,70,09:48 PM,09:53 AM,06:34 AM,05:50 PM,10,19,20,19,21,17,63,0.0,1018,26,10,90,14,Zambia
2020-07-10,28,14,0.0,8.7,6,63,10:36 PM,10:31 AM,06:34 AM,05:51 PM,11,21,21,20,17,12,61,0.0,1015,28,10,78,11,Zambia
2020-07-11,29,15,0.0,8.7,6,55,11:23 PM,11:07 AM,06:34 AM,05:51 PM,11,23,23,22,14,12,57,0.0,1015,29,10,93,8,Zambia
2020-07-12,27,17,0.0,8.7,6,48,No moonrise,11:43 AM,06:34 AM,05:51 PM,7,23,23,22,18,8,43,0.0,1016,27,10,138,11,Zambia
2020-07-13,25,12,0.0,8.7,5,41,12:09 AM,12:17 PM,06:34 AM,05:51 PM,6,18,20,18,19,4,50,0.0,1018,25,10,101,13,Zambia
2020-07-14,27,13,0.0,8.7,6,34,12:55 AM,12:54 PM,06:34 AM,05:52 PM,3,20,20,20,14,0,40,0.0,1016,27,10,123,9,Zambia
2020-07-15,25,13,0.0,8.7,6,26,01:44 AM,01:32 PM,06:34 AM,05:52 PM,3,19,20,19,21,1,37,0.0,1020,25,10,119,14,Zambia
2020-07-16,18,12,0.0,7.2,4,19,02:33 AM,02:14 PM,06:34 AM,05:52 PM,5,14,16,14,26,35,56,0.0,1026,18,10,96,19,Zambia
2020-07-17,19,8,0.0,8.7,4,12,03:26 AM,02:59 PM,06:34 AM,05:53 PM,3,12,13,12,22,12,56,0.0,1026,19,10,93,15,Zambia
2020-07-18,20,9,0.0,8.7,5,5,04:20 AM,03:50 PM,06:33 AM,05:53 PM,5,13,15,13,24,8,59,0.0,1024,20,10,97,17,Zambia
2020-07-19,19,9,0.0,8.7,4,0,05:17 AM,04:45 PM,06:33 AM,05:53 PM,7,13,15,13,21,23,68,0.0,1022,19,10,94,14,Zambia
2020-07-20,20,9,0.0,7.2,4,0,06:13 AM,05:44 PM,06:33 AM,05:54 PM,7,14,15,14,19,34,69,0.0,1021,20,9,91,13,Zambia
2020-07-21,22,10,0.0,7.2,4,2,07:08 AM,06:44 PM,06:33 AM,05:54 PM,7,15,17,15,18,30,62,0.0,1020,22,10,100,12,Zambia
2020-07-22,23,11,0.0,8.7,5,10,08:00 AM,07:45 PM,06:33 AM,05:54 PM,6,16,17,16,18,18,58,0.0,1019,23,10,109,12,Zambia
2020-07-23,21,11,0.0,8.7,5,17,08:49 AM,08:44 PM,06:32 AM,05:54 PM,4,15,17,15,20,7,53,0.0,1020,21,10,100,13,Zambia
2020-07-24,21,9,0.0,8.7,5,24,09:36 AM,09:42 PM,06:32 AM,05:55 PM,4,14,16,14,21,12,56,0.0,1020,21,10,100,14,Zambia
2020-07-25,20,10,0.0,7.2,4,32,10:19 AM,10:39 PM,06:32 AM,05:55 PM,8,14,16,14,22,42,68,0.3,1021,20,10,95,15,Zambia
2020-07-26,22,9,0.0,7.2,4,39,11:02 AM,11:36 PM,06:32 AM,05:55 PM,7,15,16,15,16,29,65,0.0,1020,22,9,106,11,Zambia
2020-07-27,22,10,0.0,8.7,5,46,11:46 AM,No moonset,06:31 AM,05:55 PM,5,16,17,16,16,8,53,0.0,1019,22,10,107,11,Zambia
2020-07-28,22,10,0.0,8.7,5,53,12:31 PM,12:33 AM,06:31 AM,05:56 PM,6,15,17,15,20,19,56,0.0,1019,22,10,98,13,Zambia
2020-07-29,25,11,0.0,8.7,5,61,01:19 PM,01:32 AM,06:31 AM,05:56 PM,8,17,18,17,18,25,63,0.0,1018,25,9,105,12,Zambia
2020-07-30,26,12,0.0,8.7,6,68,02:10 PM,02:31 AM,06:30 AM,05:56 PM,6,19,20,19,19,3,50,0.0,1019,26,10,108,12,Zambia
2020-07-31,25,13,0.0,8.7,6,72,03:04 PM,03:31 AM,06:30 AM,05:56 PM,4,18,19,18,21,3,44,0.0,1021,25,10,104,15,Zambia
2020-08-01,23,11,0.0,8.7,5,82,04:00 PM,04:29 AM,06:30 AM,05:57 PM,1,16,18,16,24,0,40,0.0,1022,23,10,95,16,Zambia
2020-08-02,23,9,0.0,8.7,5,90,04:58 PM,05:26 AM,06:29 AM,05:57 PM,4,15,17,15,21,5,53,0.0,1022,23,10,98,15,Zambia
2020-08-03,22,9,0.0,7.2,4,97,05:54 PM,06:17 AM,06:29 AM,05:57 PM,7,15,17,15,20,20,61,0.0,1022,22,10,98,13,Zambia
2020-08-04,24,11,0.0,8.7,5,100,06:48 PM,07:05 AM,06:29 AM,05:57 PM,9,17,19,17,15,23,66,0.0,1019,24,9,97,10,Zambia
2020-08-05,27,13,0.0,8.7,6,88,07:40 PM,07:48 AM,06:28 AM,05:58 PM,8,21,21,21,15,9,51,0.0,1017,27,10,115,9,Zambia
2020-08-06,30,15,0.0,8.7,6,81,08:28 PM,08:28 AM,06:28 AM,05:58 PM,5,23,23,23,13,4,39,0.0,1016,30,10,110,8,Zambia
2020-08-07,29,16,0.0,8.7,6,74,09:16 PM,09:05 AM,06:27 AM,05:58 PM,4,22,22,22,18,2,35,0.0,1017,29,10,106,12,Zambia
2020-08-08,23,13,0.0,8.7,5,67,10:02 PM,09:41 AM,06:27 AM,05:58 PM,8,18,19,18,24,10,55,0.0,1021,23,10,95,18,Zambia
2020-08-09,27,11,0.0,8.7,6,59,10:49 PM,10:15 AM,06:26 AM,05:58 PM,5,18,19,18,17,4,52,0.0,1018,27,10,115,11,Zambia
2020-08-10,27,13,0.0,8.7,6,52,11:36 PM,10:51 AM,06:26 AM,05:59 PM,2,21,21,20,12,2,35,0.0,1015,27,10,130,8,Zambia
