date_time,Saudi%20Arabia_maxtempC,Saudi%20Arabia_mintempC,Saudi%20Arabia_totalSnow_cm,Saudi%20Arabia_sunHour,Saudi%20Arabia_uvIndex,Saudi%20Arabia_moon_illumination,Saudi%20Arabia_moonrise,Saudi%20Arabia_moonset,Saudi%20Arabia_sunrise,Saudi%20Arabia_sunset,Saudi%20Arabia_DewPointC,Saudi%20Arabia_FeelsLikeC,Saudi%20Arabia_HeatIndexC,Saudi%20Arabia_WindChillC,Saudi%20Arabia_WindGustKmph,Saudi%20Arabia_cloudcover,Saudi%20Arabia_humidity,Saudi%20Arabia_precipMM,Saudi%20Arabia_pressure,Saudi%20Arabia_tempC,Saudi%20Arabia_visibility,Saudi%20Arabia_winddirDegree,Saudi%20Arabia_windspeedKmph,Saudi%20Arabia_location
2020-06-15,43,27,0.0,13.4,9,23,01:12 AM,01:37 PM,05:04 AM,06:43 PM,-2,35,35,36,17,0,10,0.0,1005,43,10,128,10,Saudi%20Arabia
2020-06-16,45,30,0.0,13.4,10,16,01:44 AM,02:27 PM,05:04 AM,06:43 PM,-3,39,39,38,25,6,8,0.0,1002,45,10,246,16,Saudi%20Arabia
2020-06-17,44,30,0.0,13.4,9,8,02:16 AM,03:19 PM,05:04 AM,06:44 PM,-2,37,37,37,22,2,9,0.0,1002,44,10,159,14,Saudi%20Arabia
2020-06-18,43,28,0.0,13.4,9,1,02:51 AM,04:12 PM,05:04 AM,06:44 PM,-4,35,35,36,21,0,8,0.0,1003,43,10,219,13,Saudi%20Arabia
2020-06-19,42,27,0.0,13.4,9,0,03:29 AM,05:07 PM,05:04 AM,06:44 PM,-5,35,35,35,23,0,8,0.0,1002,42,10,258,14,Saudi%20Arabia
2020-06-20,42,25,0.0,13.4,9,0,04:11 AM,06:04 PM,05:05 AM,06:44 PM,-6,35,35,35,17,0,8,0.0,1001,42,10,109,10,Saudi%20Arabia
2020-06-21,42,27,0.0,13.4,9,0,04:59 AM,07:01 PM,05:05 AM,06:45 PM,-2,34,34,35,20,0,10,0.0,1002,42,10,110,11,Saudi%20Arabia
2020-06-22,40,26,0.0,13.4,9,7,05:53 AM,07:57 PM,05:05 AM,06:45 PM,-1,33,33,34,29,0,12,0.0,1005,40,10,266,19,Saudi%20Arabia
2020-06-23,41,26,0.0,13.4,9,14,06:51 AM,08:50 PM,05:05 AM,06:45 PM,-1,33,33,34,34,0,12,0.0,1005,41,10,333,23,Saudi%20Arabia
2020-06-24,40,26,0.0,13.4,9,22,07:52 AM,09:40 PM,05:06 AM,06:45 PM,-6,33,33,34,30,0,8,0.0,1004,40,10,261,19,Saudi%20Arabia
2020-06-25,43,27,0.0,13.4,9,29,08:54 AM,10:24 PM,05:06 AM,06:45 PM,-4,35,35,35,33,0,9,0.0,1003,43,10,146,21,Saudi%20Arabia
2020-06-26,44,29,0.0,13.4,9,37,09:56 AM,11:06 PM,05:06 AM,06:46 PM,-3,36,36,36,30,1,8,0.0,1003,44,10,151,19,Saudi%20Arabia
2020-06-27,45,29,0.0,13.4,9,44,10:57 AM,11:45 PM,05:06 AM,06:46 PM,-6,37,37,37,28,0,7,0.0,1003,45,10,15,18,Saudi%20Arabia
2020-06-28,44,27,0.0,13.4,9,52,11:58 AM,No moonset,05:07 AM,06:46 PM,-4,37,37,37,18,0,9,0.0,1002,44,10,62,11,Saudi%20Arabia
2020-06-29,45,29,0.0,13.4,10,59,12:59 PM,12:23 AM,05:07 AM,06:46 PM,-3,38,38,38,21,4,8,0.0,1000,45,10,228,14,Saudi%20Arabia
2020-06-30,45,28,0.0,13.4,10,67,02:01 PM,01:02 AM,05:07 AM,06:46 PM,-0,38,38,37,18,2,10,0.0,999,45,10,256,12,Saudi%20Arabia
2020-07-01,44,29,0.0,13.4,9,72,03:04 PM,01:43 AM,05:08 AM,06:46 PM,-0,37,37,37,14,9,10,0.0,998,44,10,101,8,Saudi%20Arabia
2020-07-02,44,30,0.0,13.4,9,79,04:08 PM,02:26 AM,05:08 AM,06:46 PM,-0,37,37,37,29,3,10,0.0,999,44,10,117,17,Saudi%20Arabia
