date_time,Cape%20Verde_maxtempC,Cape%20Verde_mintempC,Cape%20Verde_totalSnow_cm,Cape%20Verde_sunHour,Cape%20Verde_uvIndex,Cape%20Verde_moon_illumination,Cape%20Verde_moonrise,Cape%20Verde_moonset,Cape%20Verde_sunrise,Cape%20Verde_sunset,Cape%20Verde_DewPointC,Cape%20Verde_FeelsLikeC,Cape%20Verde_HeatIndexC,Cape%20Verde_WindChillC,Cape%20Verde_WindGustKmph,Cape%20Verde_cloudcover,Cape%20Verde_humidity,Cape%20Verde_precipMM,Cape%20Verde_pressure,Cape%20Verde_tempC,Cape%20Verde_visibility,Cape%20Verde_winddirDegree,Cape%20Verde_windspeedKmph,Cape%20Verde_location
2020-04-20,21,20,0.0,11.6,6,0,04:49 AM,04:59 PM,06:13 AM,06:48 PM,17,21,22,21,37,41,79,0.0,1017,21,10,36,27,Cape%20Verde
2020-04-21,22,18,0.0,11.6,6,0,05:24 AM,05:46 PM,06:12 AM,06:49 PM,18,21,24,21,37,4,82,0.0,1016,22,10,30,27,Cape%20Verde
2020-04-22,21,19,0.0,11.6,5,0,05:58 AM,06:32 PM,06:11 AM,06:49 PM,18,21,22,21,43,34,83,0.0,1014,21,10,15,31,Cape%20Verde
2020-04-23,21,19,0.0,11.6,5,0,06:33 AM,07:21 PM,06:11 AM,06:49 PM,17,21,22,21,40,63,77,0.0,1014,21,10,19,29,Cape%20Verde
2020-04-24,21,16,0.0,8.9,5,7,07:11 AM,08:10 PM,06:10 AM,06:49 PM,17,20,22,20,35,70,75,0.3,1016,21,10,34,26,Cape%20Verde
2020-04-25,21,16,0.0,11.6,6,15,07:52 AM,09:02 PM,06:10 AM,06:50 PM,17,20,20,20,32,49,77,0.1,1016,21,10,38,24,Cape%20Verde
2020-04-26,21,16,0.0,10.3,5,22,08:35 AM,09:56 PM,06:09 AM,06:50 PM,18,19,20,19,35,52,82,0.0,1016,21,10,33,26,Cape%20Verde
2020-04-27,21,18,0.0,10.3,5,30,09:24 AM,10:50 PM,06:08 AM,06:50 PM,18,21,23,21,35,31,83,0.0,1016,21,10,30,26,Cape%20Verde
2020-04-28,22,15,0.0,11.6,6,37,10:15 AM,11:45 PM,06:08 AM,06:50 PM,19,20,22,20,38,13,84,0.0,1017,22,10,26,30,Cape%20Verde
2020-04-29,22,16,0.0,11.6,6,45,11:11 AM,No moonset,06:07 AM,06:51 PM,19,21,23,21,45,7,83,0.0,1017,22,10,31,34,Cape%20Verde
2020-04-30,23,17,0.0,11.6,6,52,12:09 PM,12:38 AM,06:07 AM,06:51 PM,19,23,23,21,41,3,79,0.0,1017,23,10,32,31,Cape%20Verde
2020-05-01,22,16,0.0,11.6,6,58,01:09 PM,01:30 AM,06:06 AM,06:51 PM,19,24,24,21,38,1,81,0.0,1016,22,10,22,28,Cape%20Verde
2020-05-02,22,15,0.0,11.6,6,65,02:08 PM,02:18 AM,06:06 AM,06:52 PM,19,24,24,21,33,6,83,0.0,1015,22,10,11,24,Cape%20Verde
2020-05-03,23,20,0.0,11.6,6,72,03:08 PM,03:05 AM,06:05 AM,06:52 PM,19,24,24,22,36,2,82,0.0,1014,23,10,55,26,Cape%20Verde
2020-05-04,22,18,0.0,11.6,6,80,04:08 PM,03:51 AM,06:05 AM,06:52 PM,19,21,24,21,40,5,85,0.0,1015,22,10,23,29,Cape%20Verde
2020-05-05,22,20,0.0,11.6,6,87,05:09 PM,04:35 AM,06:04 AM,06:52 PM,19,21,24,21,40,10,85,0.0,1015,22,10,26,29,Cape%20Verde
2020-05-06,22,19,0.0,11.6,6,94,06:10 PM,05:21 AM,06:04 AM,06:53 PM,19,21,24,21,40,10,86,0.0,1015,22,10,15,29,Cape%20Verde
2020-05-07,21,16,0.0,11.6,6,100,07:14 PM,06:08 AM,06:04 AM,06:53 PM,19,20,22,20,43,12,86,0.0,1015,21,10,18,32,Cape%20Verde
2020-05-08,22,16,0.0,11.6,6,100,08:17 PM,06:58 AM,06:03 AM,06:53 PM,18,20,23,20,44,13,83,0.0,1016,22,10,28,33,Cape%20Verde
2020-05-09,22,19,0.0,11.6,6,84,09:20 PM,07:51 AM,06:03 AM,06:54 PM,18,21,24,21,43,14,83,0.0,1017,22,10,23,32,Cape%20Verde
2020-05-10,22,18,0.0,11.6,6,77,10:20 PM,08:47 AM,06:02 AM,06:54 PM,18,21,24,21,44,18,82,0.0,1016,22,10,20,31,Cape%20Verde
2020-05-11,21,16,0.0,10.3,5,70,11:17 PM,09:44 AM,06:02 AM,06:54 PM,19,20,23,20,41,41,85,0.0,1015,21,10,19,29,Cape%20Verde
2020-05-12,22,18,0.0,11.6,6,62,No moonrise,10:41 AM,06:02 AM,06:55 PM,19,21,24,21,44,29,84,0.0,1016,22,10,28,32,Cape%20Verde
