date_time,Trinidad%20and%20Tobago_maxtempC,Trinidad%20and%20Tobago_mintempC,Trinidad%20and%20Tobago_totalSnow_cm,Trinidad%20and%20Tobago_sunHour,Trinidad%20and%20Tobago_uvIndex,Trinidad%20and%20Tobago_moon_illumination,Trinidad%20and%20Tobago_moonrise,Trinidad%20and%20Tobago_moonset,Trinidad%20and%20Tobago_sunrise,Trinidad%20and%20Tobago_sunset,Trinidad%20and%20Tobago_DewPointC,Trinidad%20and%20Tobago_FeelsLikeC,Trinidad%20and%20Tobago_HeatIndexC,Trinidad%20and%20Tobago_WindChillC,Trinidad%20and%20Tobago_WindGustKmph,Trinidad%20and%20Tobago_cloudcover,Trinidad%20and%20Tobago_humidity,Trinidad%20and%20Tobago_precipMM,Trinidad%20and%20Tobago_pressure,Trinidad%20and%20Tobago_tempC,Trinidad%20and%20Tobago_visibility,Trinidad%20and%20Tobago_winddirDegree,Trinidad%20and%20Tobago_windspeedKmph,Trinidad%20and%20Tobago_location
2020-03-06,28,22,0.0,11.6,7,80,03:26 PM,03:31 AM,06:18 AM,06:16 PM,20,27,27,25,28,37,76,0.4,1015,28,10,80,18,Trinidad%20and%20Tobago
2020-03-07,28,22,0.0,7.4,6,87,04:27 PM,04:27 AM,06:17 AM,06:16 PM,20,27,27,25,25,58,78,0.5,1013,28,10,82,15,Trinidad%20and%20Tobago
2020-03-08,28,22,0.0,11.6,7,95,05:29 PM,05:23 AM,06:17 AM,06:16 PM,20,27,27,25,24,26,77,0.0,1014,28,10,79,15,Trinidad%20and%20Tobago
2020-03-09,28,23,0.0,8.8,6,100,06:29 PM,06:14 AM,06:16 AM,06:17 PM,20,27,27,25,25,44,75,0.3,1015,28,10,73,16,Trinidad%20and%20Tobago
2020-03-10,28,23,0.0,10.2,6,100,07:29 PM,07:05 AM,06:16 AM,06:17 PM,20,27,27,25,27,38,76,0.5,1015,28,10,77,17,Trinidad%20and%20Tobago
2020-03-11,28,22,0.0,11.6,7,84,08:27 PM,07:54 AM,06:15 AM,06:17 PM,19,27,27,25,23,13,73,0.0,1012,28,10,78,15,Trinidad%20and%20Tobago
2020-03-12,28,22,0.0,10.2,6,76,09:25 PM,08:42 AM,06:14 AM,06:17 PM,20,27,27,25,23,39,76,0.2,1011,28,10,81,15,Trinidad%20and%20Tobago
2020-03-13,28,23,0.0,8.8,6,69,10:23 PM,09:32 AM,06:14 AM,06:17 PM,21,27,27,25,24,46,77,0.5,1012,28,10,79,15,Trinidad%20and%20Tobago
2020-03-14,26,23,0.0,6.0,6,62,11:22 PM,10:22 AM,06:13 AM,06:17 PM,22,27,27,24,22,73,85,6.4,1013,26,10,61,14,Trinidad%20and%20Tobago
2020-03-15,27,23,0.0,6.0,6,55,No moonrise,11:14 AM,06:13 AM,06:17 PM,21,27,27,25,19,69,82,3.8,1013,27,10,48,12,Trinidad%20and%20Tobago
2020-03-16,27,23,0.0,8.8,6,47,12:19 AM,12:08 PM,06:12 AM,06:17 PM,21,27,27,25,19,47,79,0.5,1013,27,10,48,12,Trinidad%20and%20Tobago
2020-03-17,27,22,0.0,8.8,6,40,01:15 AM,01:01 PM,06:12 AM,06:17 PM,20,26,26,24,19,47,79,0.7,1013,27,10,49,12,Trinidad%20and%20Tobago
2020-03-18,28,23,0.0,8.8,6,33,02:08 AM,01:55 PM,06:11 AM,06:17 PM,21,27,27,25,22,72,79,2.2,1014,28,9,62,14,Trinidad%20and%20Tobago
2020-03-19,28,23,0.0,11.6,7,25,02:58 AM,02:47 PM,06:10 AM,06:17 PM,21,27,27,25,23,25,77,0.1,1014,28,10,52,15,Trinidad%20and%20Tobago
2020-03-20,27,23,0.0,10.2,6,18,03:45 AM,03:37 PM,06:10 AM,06:17 PM,21,27,27,25,24,45,78,0.3,1014,27,10,44,16,Trinidad%20and%20Tobago
2020-03-21,27,23,0.0,10.2,6,11,04:28 AM,04:25 PM,06:09 AM,06:17 PM,21,27,27,25,18,44,79,4.0,1013,27,10,102,11,Trinidad%20and%20Tobago
2020-03-22,28,23,0.0,8.8,6,4,05:09 AM,05:12 PM,06:09 AM,06:17 PM,21,27,27,25,25,32,77,0.1,1014,28,10,75,16,Trinidad%20and%20Tobago
