date_time,Bahrain_maxtempC,Bahrain_mintempC,Bahrain_totalSnow_cm,Bahrain_sunHour,Bahrain_uvIndex,Bahrain_moon_illumination,Bahrain_moonrise,Bahrain_moonset,Bahrain_sunrise,Bahrain_sunset,Bahrain_DewPointC,Bahrain_FeelsLikeC,Bahrain_HeatIndexC,Bahrain_WindChillC,Bahrain_WindGustKmph,Bahrain_cloudcover,Bahrain_humidity,Bahrain_precipMM,Bahrain_pressure,Bahrain_tempC,Bahrain_visibility,Bahrain_winddirDegree,Bahrain_windspeedKmph,Bahrain_location
2020-09-13,35,28,0.0,11.6,8,13,12:46 AM,02:57 PM,05:23 AM,05:44 PM,25,42,42,34,18,0,58,0.0,1005,35,10,97,10,Bahrain
2020-09-14,36,29,0.0,11.6,8,5,01:47 AM,03:47 PM,05:23 AM,05:43 PM,25,42,42,34,19,1,55,0.0,1004,36,10,203,11,Bahrain
2020-09-15,35,29,0.0,11.6,8,0,02:51 AM,04:34 PM,05:24 AM,05:42 PM,24,40,40,33,18,0,56,0.0,1004,35,10,158,11,Bahrain
2020-09-16,36,27,0.0,11.6,8,0,03:57 AM,05:18 PM,05:24 AM,05:41 PM,23,38,38,33,22,0,53,0.0,1004,36,10,134,13,Bahrain
2020-09-17,35,28,0.0,11.6,8,0,05:04 AM,05:59 PM,05:24 AM,05:40 PM,23,38,38,33,19,0,56,0.0,1006,35,10,102,11,Bahrain
2020-09-18,34,32,0.0,11.6,8,2,06:10 AM,06:39 PM,05:25 AM,05:39 PM,24,39,39,33,15,0,58,0.0,1006,34,10,144,10,Bahrain
2020-09-19,35,28,0.0,11.6,8,10,07:17 AM,07:19 PM,05:25 AM,05:37 PM,24,37,37,32,14,0,57,0.0,1004,35,10,151,9,Bahrain
2020-09-20,34,29,0.0,11.6,8,17,08:23 AM,08:01 PM,05:26 AM,05:36 PM,23,38,38,33,22,0,56,0.0,1003,34,10,216,15,Bahrain
2020-09-21,34,32,0.0,11.6,8,25,09:30 AM,08:45 PM,05:26 AM,05:35 PM,24,41,41,33,19,0,59,0.0,1003,34,10,222,13,Bahrain
2020-09-22,33,24,0.0,11.6,8,32,10:35 AM,09:33 PM,05:27 AM,05:34 PM,25,37,37,31,18,0,62,0.0,1004,33,10,155,13,Bahrain
2020-09-23,35,27,0.0,11.6,8,40,11:40 AM,10:25 PM,05:27 AM,05:33 PM,23,37,37,32,14,0,51,0.0,1004,35,10,161,9,Bahrain
2020-09-24,34,28,0.0,11.6,8,47,12:41 PM,11:21 PM,05:27 AM,05:32 PM,24,40,40,33,19,0,59,0.0,1005,34,10,146,12,Bahrain
