date_time,Chad_maxtempC,Chad_mintempC,Chad_totalSnow_cm,Chad_sunHour,Chad_uvIndex,Chad_moon_illumination,Chad_moonrise,Chad_moonset,Chad_sunrise,Chad_sunset,Chad_DewPointC,Chad_FeelsLikeC,Chad_HeatIndexC,Chad_WindChillC,Chad_WindGustKmph,Chad_cloudcover,Chad_humidity,Chad_precipMM,Chad_pressure,Chad_tempC,Chad_visibility,Chad_winddirDegree,Chad_windspeedKmph,Chad_location
2020-09-29,31,25,0.0,10.2,6,85,04:37 PM,03:51 AM,05:49 AM,05:51 PM,21,30,30,28,19,49,69,0.8,1009,31,10,178,13,Chad
2020-09-30,33,25,0.0,8.8,6,93,05:15 PM,04:39 AM,05:49 AM,05:50 PM,22,31,31,28,16,47,69,2.5,1009,33,10,201,11,Chad
2020-10-01,32,24,0.0,11.6,7,97,05:52 PM,05:25 AM,05:49 AM,05:50 PM,20,29,29,27,17,24,68,0.0,1008,32,10,217,11,Chad
2020-10-02,34,26,0.0,10.2,7,100,06:28 PM,06:10 AM,05:49 AM,05:49 PM,21,32,32,30,17,46,60,3.1,1007,34,10,239,11,Chad
2020-10-03,36,27,0.0,11.6,8,89,07:04 PM,06:55 AM,05:49 AM,05:49 PM,20,33,33,31,17,34,57,2.6,1008,36,10,194,11,Chad
2020-10-04,37,27,0.0,11.6,8,82,07:42 PM,07:41 AM,05:49 AM,05:48 PM,19,34,34,32,14,19,51,0.7,1008,37,10,220,8,Chad
2020-10-05,35,26,0.0,11.6,7,74,08:21 PM,08:27 AM,05:49 AM,05:47 PM,21,33,33,30,18,31,61,1.8,1009,35,10,173,12,Chad
2020-10-06,34,27,0.0,11.6,8,67,09:04 PM,09:16 AM,05:49 AM,05:47 PM,21,33,33,30,21,28,58,3.0,1009,34,10,166,14,Chad
2020-10-07,35,26,0.0,11.6,7,60,09:50 PM,10:06 AM,05:49 AM,05:46 PM,20,33,33,30,15,28,58,0.1,1009,35,10,210,10,Chad
2020-10-08,36,26,0.0,11.6,8,53,10:39 PM,10:58 AM,05:49 AM,05:45 PM,19,33,33,31,21,28,55,1.3,1009,36,10,246,14,Chad
2020-10-09,35,25,0.0,11.6,8,45,11:33 PM,11:51 AM,05:49 AM,05:45 PM,19,32,32,30,12,23,56,2.2,1010,35,10,227,8,Chad
2020-10-10,36,26,0.0,11.6,8,38,No moonrise,12:44 PM,05:49 AM,05:44 PM,20,33,33,30,16,6,56,0.0,1010,36,10,196,10,Chad
2020-10-11,38,28,0.0,11.6,8,31,12:28 AM,01:38 PM,05:49 AM,05:44 PM,10,33,33,33,18,0,29,0.0,1008,38,10,242,10,Chad
2020-10-12,38,27,0.0,11.6,8,23,01:26 AM,02:28 PM,05:50 AM,05:43 PM,10,33,33,33,17,1,28,0.0,1007,38,10,239,10,Chad
2020-10-13,36,27,0.0,11.6,8,16,02:24 AM,03:18 PM,05:50 AM,05:43 PM,16,32,32,31,18,4,41,0.0,1007,36,10,188,11,Chad
2020-10-14,37,28,0.0,11.6,8,9,03:23 AM,04:06 PM,05:50 AM,05:42 PM,18,33,33,32,16,10,44,0.0,1009,37,10,174,10,Chad
2020-10-15,38,28,0.0,11.6,8,2,04:21 AM,04:53 PM,05:50 AM,05:41 PM,16,33,33,32,13,5,41,0.0,1009,38,10,219,8,Chad
2020-10-16,38,28,0.0,11.6,8,0,05:20 AM,05:41 PM,05:50 AM,05:41 PM,16,33,33,32,14,3,41,0.0,1008,38,10,191,9,Chad
2020-10-17,39,28,0.0,11.6,8,0,06:20 AM,06:29 PM,05:50 AM,05:40 PM,12,34,34,33,9,1,31,0.0,1007,39,10,137,6,Chad
2020-10-18,39,28,0.0,11.6,9,5,07:21 AM,07:21 PM,05:50 AM,05:40 PM,8,33,33,33,10,0,23,0.0,1007,39,10,189,6,Chad
2020-10-19,39,28,0.0,11.6,9,13,08:23 AM,08:15 PM,05:50 AM,05:39 PM,4,33,33,33,14,0,17,0.0,1007,39,10,116,9,Chad
2020-10-20,38,27,0.0,11.6,8,20,09:27 AM,09:12 PM,05:50 AM,05:39 PM,6,33,33,33,12,0,21,0.0,1008,38,10,144,7,Chad
2020-10-21,39,28,0.0,11.6,9,27,10:28 AM,10:10 PM,05:51 AM,05:38 PM,4,33,33,33,18,0,18,0.0,1008,39,10,100,12,Chad
2020-10-22,39,27,0.0,11.6,8,35,11:28 AM,11:08 PM,05:51 AM,05:38 PM,-1,32,32,33,27,0,13,0.0,1009,39,10,54,17,Chad
2020-10-23,38,27,0.0,11.6,8,42,12:22 PM,No moonset,05:51 AM,05:38 PM,0,32,32,32,27,1,13,0.0,1009,38,10,59,17,Chad
2020-10-24,37,27,0.0,11.6,8,49,01:12 PM,12:04 AM,05:51 AM,05:37 PM,2,31,31,32,25,4,16,0.0,1009,37,10,51,15,Chad
2020-10-25,37,27,0.0,11.6,8,56,01:57 PM,12:58 AM,05:51 AM,05:37 PM,1,31,31,32,31,0,15,0.0,1009,37,10,42,20,Chad
2020-10-26,36,26,0.0,11.6,8,64,02:38 PM,01:49 AM,05:51 AM,05:36 PM,2,30,30,31,29,0,16,0.0,1009,36,10,100,18,Chad
2020-10-27,36,28,0.0,11.6,8,71,03:16 PM,02:36 AM,05:52 AM,05:36 PM,2,30,30,32,24,3,16,0.0,1008,36,10,104,16,Chad
2020-10-28,37,26,0.0,11.6,8,78,03:53 PM,03:23 AM,05:52 AM,05:36 PM,3,30,30,31,26,4,17,0.0,1009,37,10,111,16,Chad
2020-10-29,38,27,0.0,11.6,8,85,04:28 PM,04:08 AM,05:52 AM,05:35 PM,3,32,32,32,29,3,17,0.0,1008,38,10,99,18,Chad
2020-10-30,38,27,0.0,11.6,8,93,05:05 PM,04:53 AM,05:52 AM,05:35 PM,4,31,31,32,26,3,18,0.0,1009,38,10,81,17,Chad
2020-10-31,37,27,0.0,11.6,8,97,05:42 PM,05:38 AM,05:53 AM,05:35 PM,3,31,31,32,31,4,17,0.0,1009,37,10,45,20,Chad
2020-11-01,36,26,0.0,11.6,8,89,06:20 PM,06:24 AM,05:53 AM,05:34 PM,4,30,30,31,32,5,18,0.0,1009,36,10,30,20,Chad
2020-11-02,37,27,0.0,11.6,8,81,07:02 PM,07:13 AM,05:53 AM,05:34 PM,5,29,29,31,32,8,20,0.0,1010,37,10,38,21,Chad
2020-11-03,38,28,0.0,11.6,8,74,07:47 PM,08:02 AM,05:53 AM,05:34 PM,7,31,31,32,31,8,21,0.0,1010,38,10,47,21,Chad
2020-11-04,38,27,0.0,11.6,8,66,08:35 PM,08:54 AM,05:54 AM,05:33 PM,5,31,31,32,31,5,19,0.0,1010,38,10,57,21,Chad
2020-11-05,37,27,0.0,11.6,8,58,09:27 PM,09:47 AM,05:54 AM,05:33 PM,2,30,30,31,34,5,16,0.0,1010,37,10,34,22,Chad
2020-11-06,35,24,0.0,11.6,8,51,10:21 PM,10:39 AM,05:54 AM,05:33 PM,1,29,29,29,29,3,17,0.0,1011,35,10,34,19,Chad
2020-11-07,35,23,0.0,11.6,8,43,11:17 PM,11:31 AM,05:55 AM,05:33 PM,2,29,29,29,26,1,19,0.0,1012,35,10,139,16,Chad
2020-11-08,35,24,0.0,11.6,8,36,No moonrise,12:21 PM,05:55 AM,05:33 PM,5,29,29,29,26,3,24,0.0,1012,35,10,101,16,Chad
2020-11-09,34,23,0.0,11.6,8,28,12:12 AM,01:10 PM,05:55 AM,05:32 PM,6,29,29,28,26,2,27,0.0,1012,34,10,178,16,Chad
2020-11-10,35,23,0.0,11.6,8,21,01:09 AM,01:56 PM,05:56 AM,05:32 PM,7,29,29,29,25,1,27,0.0,1011,35,10,191,14,Chad
2020-11-11,35,23,0.0,11.6,8,13,02:05 AM,02:42 PM,05:56 AM,05:32 PM,7,30,30,30,25,3,28,0.0,1010,35,10,183,15,Chad
2020-11-12,37,24,0.0,11.6,8,6,03:02 AM,03:28 PM,05:56 AM,05:32 PM,7,31,31,30,26,7,26,0.0,1010,37,10,149,15,Chad
2020-11-13,38,26,0.0,11.6,8,0,04:00 AM,04:15 PM,05:57 AM,05:32 PM,6,32,32,32,24,5,23,0.0,1010,38,10,102,15,Chad
2020-11-14,37,26,0.0,11.6,8,0,04:59 AM,05:04 PM,05:57 AM,05:32 PM,3,30,30,31,36,5,17,0.0,1011,37,10,52,23,Chad
2020-11-15,35,25,0.0,11.6,8,0,06:01 AM,05:57 PM,05:57 AM,05:32 PM,2,29,29,30,36,6,18,0.0,1011,35,10,44,23,Chad
2020-11-16,34,22,0.0,11.6,7,2,07:05 AM,06:54 PM,05:58 AM,05:32 PM,3,28,28,28,32,1,21,0.0,1011,34,10,37,20,Chad
2020-11-17,35,22,0.0,11.6,7,9,08:10 AM,07:54 PM,05:58 AM,05:32 PM,3,28,28,28,30,2,21,0.0,1011,35,10,72,19,Chad
2020-11-18,34,22,0.0,11.6,7,17,09:13 AM,08:54 PM,05:59 AM,05:32 PM,1,28,28,28,28,1,20,0.0,1010,34,10,92,17,Chad
2020-11-19,33,21,0.0,11.6,7,24,10:11 AM,09:54 PM,05:59 AM,05:32 PM,2,28,28,27,26,0,21,0.0,1010,33,10,140,15,Chad
2020-11-20,34,22,0.0,11.3,7,32,11:05 AM,10:50 PM,06:00 AM,05:32 PM,3,29,29,28,27,2,23,0.0,1010,34,10,75,16,Chad
2020-11-21,35,23,0.0,11.3,8,39,11:53 AM,11:43 PM,06:00 AM,05:32 PM,3,29,29,28,29,3,20,0.0,1010,35,10,89,17,Chad
2020-11-22,36,23,0.0,11.3,8,47,12:36 PM,No moonset,06:00 AM,05:32 PM,6,30,30,30,26,2,25,0.0,1010,36,10,94,15,Chad
2020-11-23,36,24,0.0,8.7,8,54,01:16 PM,12:33 AM,06:01 AM,05:32 PM,7,30,30,30,23,3,27,0.0,1010,36,10,80,13,Chad
2020-11-24,37,24,0.0,8.7,8,62,01:53 PM,01:20 AM,06:01 AM,05:32 PM,5,31,31,31,22,1,22,0.0,1010,37,10,112,13,Chad
2020-11-25,36,23,0.0,8.7,8,70,02:29 PM,02:05 AM,06:02 AM,05:32 PM,4,30,30,30,25,0,22,0.0,1010,36,10,89,15,Chad
2020-11-26,35,22,0.0,8.7,8,77,03:05 PM,02:50 AM,06:02 AM,05:32 PM,-2,29,29,29,28,0,15,0.0,1010,35,10,33,17,Chad
2020-11-27,35,21,0.0,8.7,7,85,03:42 PM,03:35 AM,06:03 AM,05:32 PM,-3,28,28,28,30,0,14,0.0,1010,35,10,28,18,Chad
2020-11-28,34,21,0.0,8.7,7,92,04:19 PM,04:21 AM,06:03 AM,05:33 PM,-3,27,27,27,28,0,15,0.0,1011,34,10,130,16,Chad
2020-11-29,35,20,0.0,8.7,7,100,05:00 PM,05:09 AM,06:04 AM,05:33 PM,1,28,28,28,22,0,21,0.0,1011,35,10,87,13,Chad
2020-11-30,36,22,0.0,8.7,8,100,05:45 PM,05:58 AM,06:04 AM,05:33 PM,-0,29,29,29,26,0,18,0.0,1011,36,10,49,16,Chad
2020-12-01,36,22,0.0,8.7,8,89,06:32 PM,06:49 AM,06:05 AM,05:33 PM,-4,29,29,29,30,0,13,0.0,1011,36,10,73,17,Chad
2020-12-02,35,21,0.0,8.7,7,82,07:23 PM,07:43 AM,06:05 AM,05:33 PM,-3,28,28,28,27,0,15,0.0,1011,35,10,98,16,Chad
2020-12-03,34,20,0.0,8.7,7,75,08:17 PM,08:36 AM,06:06 AM,05:34 PM,-4,27,27,28,28,0,15,0.0,1011,34,10,20,17,Chad
2020-12-04,35,20,0.0,8.7,8,67,09:12 PM,09:28 AM,06:06 AM,05:34 PM,-4,28,28,28,25,0,14,0.0,1011,35,10,70,14,Chad
2020-12-05,36,21,0.0,8.7,8,60,10:07 PM,10:18 AM,06:07 AM,05:34 PM,-4,29,29,29,23,0,14,0.0,1011,36,10,66,13,Chad
2020-12-06,37,23,0.0,8.7,8,53,11:03 PM,11:07 AM,06:08 AM,05:35 PM,-1,30,30,30,23,0,16,0.0,1010,37,10,73,13,Chad
2020-12-07,38,23,0.0,8.7,8,46,11:57 PM,11:53 AM,06:08 AM,05:35 PM,-0,31,31,31,25,0,16,0.0,1011,38,10,38,15,Chad
2020-12-08,38,24,0.0,8.7,8,38,No moonrise,12:37 PM,06:09 AM,05:35 PM,-1,32,32,32,30,0,14,0.0,1011,38,10,47,18,Chad
