date_time,United%20States%2C%20North%20Dakota_maxtempC,United%20States%2C%20North%20Dakota_mintempC,United%20States%2C%20North%20Dakota_totalSnow_cm,United%20States%2C%20North%20Dakota_sunHour,United%20States%2C%20North%20Dakota_uvIndex,United%20States%2C%20North%20Dakota_moon_illumination,United%20States%2C%20North%20Dakota_moonrise,United%20States%2C%20North%20Dakota_moonset,United%20States%2C%20North%20Dakota_sunrise,United%20States%2C%20North%20Dakota_sunset,United%20States%2C%20North%20Dakota_DewPointC,United%20States%2C%20North%20Dakota_FeelsLikeC,United%20States%2C%20North%20Dakota_HeatIndexC,United%20States%2C%20North%20Dakota_WindChillC,United%20States%2C%20North%20Dakota_WindGustKmph,United%20States%2C%20North%20Dakota_cloudcover,United%20States%2C%20North%20Dakota_humidity,United%20States%2C%20North%20Dakota_precipMM,United%20States%2C%20North%20Dakota_pressure,United%20States%2C%20North%20Dakota_tempC,United%20States%2C%20North%20Dakota_visibility,United%20States%2C%20North%20Dakota_winddirDegree,United%20States%2C%20North%20Dakota_windspeedKmph,United%20States%2C%20North%20Dakota_location
2020-02-18,-9,-15,1.0,4.0,1,22,03:41 AM,12:30 PM,06:47 AM,05:19 PM,-14,-17,-11,-17,15,78,83,1.4,1034,-9,8,254,12,United%20States%2C%20North%20Dakota
2020-02-19,-11,-17,0.0,7.1,1,15,04:38 AM,01:24 PM,06:45 AM,05:20 PM,-18,-19,-15,-19,10,56,78,0.0,1044,-11,10,205,7,United%20States%2C%20North%20Dakota
2020-02-20,-1,-14,0.0,8.7,2,7,05:26 AM,02:22 PM,06:44 AM,05:22 PM,-12,-13,-7,-13,27,6,73,0.0,1036,-1,10,216,14,United%20States%2C%20North%20Dakota
2020-02-21,2,-6,0.0,8.7,2,0,06:06 AM,03:24 PM,06:42 AM,05:23 PM,-8,-8,-3,-8,31,1,65,0.0,1023,2,10,264,16,United%20States%2C%20North%20Dakota
2020-02-22,5,-2,0.0,8.7,2,0,06:39 AM,04:27 PM,06:40 AM,05:25 PM,-6,-4,1,-4,31,1,61,0.0,1016,5,10,263,17,United%20States%2C%20North%20Dakota
2020-02-23,2,-3,0.0,8.7,2,0,07:07 AM,05:31 PM,06:38 AM,05:26 PM,-7,-5,-0,-5,26,19,59,0.0,1019,2,10,271,17,United%20States%2C%20North%20Dakota
2020-02-24,2,-4,5.4,4.1,1,0,07:31 AM,06:33 PM,06:37 AM,05:28 PM,-5,-7,-1,-7,30,97,76,7.0,1009,2,4,210,21,United%20States%2C%20North%20Dakota
2020-02-25,-5,-8,3.5,4.1,1,8,07:53 AM,07:36 PM,06:35 AM,05:29 PM,-8,-13,-6,-13,28,88,89,5.9,1032,-5,6,246,20,United%20States%2C%20North%20Dakota
2020-02-26,-8,-14,0.0,7.2,1,15,08:13 AM,08:37 PM,06:33 AM,05:31 PM,-13,-16,-11,-16,14,46,89,0.0,1031,-8,10,195,8,United%20States%2C%20North%20Dakota
2020-02-27,-5,-13,3.4,4.1,1,23,08:33 AM,09:39 PM,06:31 AM,05:32 PM,-10,-13,-9,-13,14,97,93,4.0,1027,-5,4,237,10,United%20States%2C%20North%20Dakota
2020-02-28,-0,-9,0.1,8.7,2,30,08:55 AM,10:40 PM,06:30 AM,05:33 PM,-7,-9,-5,-9,20,25,90,0.1,1029,-0,10,271,11,United%20States%2C%20North%20Dakota
2020-02-29,9,1,0.0,7.2,2,38,09:19 AM,11:44 PM,06:28 AM,05:35 PM,-3,1,4,1,25,18,63,0.0,1009,9,10,254,14,United%20States%2C%20North%20Dakota
2020-03-01,2,-2,0.0,5.7,1,44,09:45 AM,No moonset,06:26 AM,05:36 PM,-6,-5,0,-5,35,40,63,0.0,1012,2,10,307,25,United%20States%2C%20North%20Dakota
2020-03-02,6,-4,0.0,8.7,2,51,10:17 AM,12:48 AM,06:24 AM,05:38 PM,-8,-4,1,-4,29,32,55,0.1,1010,6,10,264,21,United%20States%2C%20North%20Dakota
2020-03-03,5,1,0.2,7.2,1,58,10:57 AM,01:53 AM,06:22 AM,05:39 PM,-5,-3,2,-3,35,33,58,0.7,1008,5,9,296,24,United%20States%2C%20North%20Dakota
2020-03-04,11,-0,0.0,8.7,3,65,11:46 AM,02:55 AM,06:21 AM,05:41 PM,-4,0,4,0,33,31,58,0.5,1012,11,10,272,23,United%20States%2C%20North%20Dakota
2020-03-05,4,-0,0.0,8.7,2,73,12:45 PM,03:53 AM,06:19 AM,05:42 PM,-7,-3,2,-3,34,23,50,0.5,1024,4,10,296,24,United%20States%2C%20North%20Dakota
2020-03-06,12,1,0.0,8.7,3,80,01:55 PM,04:44 AM,06:17 AM,05:43 PM,-4,2,5,2,27,8,53,0.0,1020,12,10,172,17,United%20States%2C%20North%20Dakota
2020-03-07,16,5,0.0,8.7,4,87,03:12 PM,05:28 AM,06:15 AM,05:45 PM,-1,9,10,9,20,12,49,0.0,1008,16,10,215,11,United%20States%2C%20North%20Dakota
2020-03-08,7,2,0.0,5.7,2,95,04:33 PM,06:05 AM,06:13 AM,05:46 PM,0,2,6,2,31,54,69,0.0,1008,7,10,294,20,United%20States%2C%20North%20Dakota
2020-03-09,2,-3,0.0,4.3,1,100,05:55 PM,06:36 AM,06:11 AM,05:47 PM,-4,-4,-0,-4,14,70,74,0.0,1020,2,10,150,11,United%20States%2C%20North%20Dakota
2020-03-10,7,1,0.0,5.7,1,100,07:16 PM,07:05 AM,06:10 AM,05:49 PM,-2,2,3,2,11,80,72,0.6,1022,7,9,204,8,United%20States%2C%20North%20Dakota
2020-03-11,11,3,0.0,5.8,2,84,08:37 PM,07:33 AM,06:08 AM,05:50 PM,-3,3,6,3,30,48,54,0.1,1009,11,10,263,20,United%20States%2C%20North%20Dakota
2020-03-12,3,-1,0.1,8.7,2,76,09:56 PM,08:00 AM,06:06 AM,05:51 PM,-8,-4,2,-4,39,22,50,0.3,1016,3,9,311,31,United%20States%2C%20North%20Dakota
2020-03-13,1,-3,0.0,8.7,2,69,11:14 PM,08:30 AM,06:04 AM,05:53 PM,-10,-5,-1,-5,19,31,51,0.0,1027,1,10,167,14,United%20States%2C%20North%20Dakota
2020-03-14,-3,-7,0.0,4.3,1,62,No moonrise,09:03 AM,06:02 AM,05:54 PM,-8,-12,-4,-12,40,86,74,3.2,1031,-3,3,105,31,United%20States%2C%20North%20Dakota
2020-03-15,2,-5,2.9,5.8,1,55,12:27 AM,09:42 AM,06:00 AM,05:55 PM,-1,-6,-1,-6,29,100,96,5.8,1026,2,3,176,19,United%20States%2C%20North%20Dakota
2020-03-16,-1,-4,0.6,6.0,1,47,01:36 AM,10:26 AM,05:58 AM,05:57 PM,-5,-7,-2,-7,23,83,82,0.7,1026,-1,7,320,17,United%20States%2C%20North%20Dakota
2020-03-17,4,-5,0.0,11.6,2,40,02:35 AM,11:18 AM,05:56 AM,05:58 PM,-7,-5,-1,-5,21,24,62,0.0,1022,4,10,194,15,United%20States%2C%20North%20Dakota
2020-03-18,2,0,0.3,6.0,1,33,03:26 AM,12:15 PM,05:55 AM,05:59 PM,-0,-3,1,-3,18,88,90,0.4,1013,2,7,40,12,United%20States%2C%20North%20Dakota
2020-03-19,-4,-8,0.2,10.5,1,25,04:08 AM,01:17 PM,05:53 AM,06:01 PM,-10,-12,-5,-12,29,69,70,0.2,1024,-4,9,86,25,United%20States%2C%20North%20Dakota
2020-03-20,-6,-12,0.0,11.8,1,18,04:42 AM,02:19 PM,05:51 AM,06:02 PM,-16,-14,-9,-14,19,38,56,0.0,1037,-6,10,136,15,United%20States%2C%20North%20Dakota
2020-03-21,5,-6,0.0,12.5,2,11,05:11 AM,03:23 PM,05:49 AM,06:03 PM,-9,-5,-1,-5,22,16,56,0.0,1025,5,10,229,16,United%20States%2C%20North%20Dakota
2020-03-22,4,-3,0.0,12.6,2,4,05:36 AM,04:25 PM,05:47 AM,06:05 PM,-6,-2,0,-2,11,29,66,0.0,1021,4,10,300,7,United%20States%2C%20North%20Dakota
2020-03-23,10,-1,0.1,12.6,1,0,05:58 AM,05:28 PM,05:45 AM,06:06 PM,-1,1,4,1,17,31,75,0.1,1014,10,8,181,13,United%20States%2C%20North%20Dakota
2020-03-24,14,2,0.0,12.6,2,0,06:18 AM,06:29 PM,05:43 AM,06:07 PM,1,5,7,5,21,25,70,0.0,1005,14,8,222,15,United%20States%2C%20North%20Dakota
2020-03-25,3,-4,0.2,10.6,1,3,06:39 AM,07:31 PM,05:41 AM,06:09 PM,-6,-3,1,-3,15,56,61,0.4,1014,3,9,144,12,United%20States%2C%20North%20Dakota
2020-03-26,6,-1,0.0,10.6,1,11,06:59 AM,08:33 PM,05:39 AM,06:10 PM,-1,-1,2,-1,14,58,79,0.0,1011,6,9,171,9,United%20States%2C%20North%20Dakota
2020-03-27,12,1,0.0,12.7,3,18,07:22 AM,09:36 PM,05:37 AM,06:11 PM,-3,4,6,4,18,18,57,0.0,1009,12,10,228,11,United%20States%2C%20North%20Dakota
2020-03-28,11,3,0.0,12.8,3,25,07:47 AM,10:40 PM,05:35 AM,06:13 PM,-3,5,7,5,15,14,52,0.0,1009,11,10,120,10,United%20States%2C%20North%20Dakota
2020-03-29,13,3,0.0,12.8,3,32,08:16 AM,11:44 PM,05:33 AM,06:14 PM,-3,6,8,6,16,11,48,0.0,1013,13,10,186,10,United%20States%2C%20North%20Dakota
2020-03-30,15,5,0.0,12.8,4,40,08:52 AM,No moonset,05:32 AM,06:15 PM,-0,7,10,7,34,21,52,0.1,1015,15,10,151,25,United%20States%2C%20North%20Dakota
2020-03-31,16,6,0.0,10.6,3,44,09:37 AM,12:46 AM,05:30 AM,06:16 PM,3,8,11,8,31,56,66,0.2,1008,16,10,194,23,United%20States%2C%20North%20Dakota
2020-04-01,3,-0,0.8,10.6,1,56,10:30 AM,01:44 AM,05:28 AM,06:18 PM,-4,-2,3,-2,26,73,63,1.8,1012,3,8,149,22,United%20States%2C%20North%20Dakota
2020-04-02,-4,-7,1.4,8.1,1,64,11:34 AM,02:36 AM,05:26 AM,06:19 PM,-13,-12,-5,-12,27,82,56,2.1,1024,-4,7,338,23,United%20States%2C%20North%20Dakota
