date_time,Canada%2C%20Manitoba_maxtempC,Canada%2C%20Manitoba_mintempC,Canada%2C%20Manitoba_totalSnow_cm,Canada%2C%20Manitoba_sunHour,Canada%2C%20Manitoba_uvIndex,Canada%2C%20Manitoba_moon_illumination,Canada%2C%20Manitoba_moonrise,Canada%2C%20Manitoba_moonset,Canada%2C%20Manitoba_sunrise,Canada%2C%20Manitoba_sunset,Canada%2C%20Manitoba_DewPointC,Canada%2C%20Manitoba_FeelsLikeC,Canada%2C%20Manitoba_HeatIndexC,Canada%2C%20Manitoba_WindChillC,Canada%2C%20Manitoba_WindGustKmph,Canada%2C%20Manitoba_cloudcover,Canada%2C%20Manitoba_humidity,Canada%2C%20Manitoba_precipMM,Canada%2C%20Manitoba_pressure,Canada%2C%20Manitoba_tempC,Canada%2C%20Manitoba_visibility,Canada%2C%20Manitoba_winddirDegree,Canada%2C%20Manitoba_windspeedKmph,Canada%2C%20Manitoba_location
2020-03-13,-15,-21,0.3,5.9,1,69,No moonrise,08:46 AM,06:50 AM,06:32 PM,-19,-27,-18,-27,21,98,92,0.5,1031,-15,9,14,14,Canada%2C%20Manitoba
2020-03-14,-14,-28,0.0,7.3,1,62,12:29 AM,09:09 AM,06:48 AM,06:34 PM,-22,-25,-21,-25,9,86,91,0.0,1049,-14,6,95,5,Canada%2C%20Manitoba
2020-03-15,-7,-21,0.1,8.8,1,55,01:54 AM,09:38 AM,06:45 AM,06:36 PM,-15,-22,-14,-22,25,77,90,0.1,1033,-7,6,238,17,Canada%2C%20Manitoba
2020-03-16,-9,-14,1.5,6.0,1,47,03:09 AM,10:16 AM,06:42 AM,06:38 PM,-14,-17,-10,-17,29,97,86,1.9,1013,-9,6,293,21,Canada%2C%20Manitoba
2020-03-17,-18,-26,0.1,6.0,1,40,04:12 AM,11:06 AM,06:40 AM,06:40 PM,-23,-30,-21,-30,20,93,91,0.1,1022,-18,9,302,13,Canada%2C%20Manitoba
2020-03-18,-14,-28,0.0,7.4,1,33,05:01 AM,12:06 PM,06:37 AM,06:42 PM,-23,-26,-21,-26,12,64,90,0.0,1029,-14,7,240,7,Canada%2C%20Manitoba
2020-03-19,-15,-27,0.0,10.2,1,25,05:37 AM,01:14 PM,06:34 AM,06:44 PM,-22,-26,-20,-26,14,50,92,0.0,1034,-15,7,329,9,Canada%2C%20Manitoba
2020-03-20,-7,-24,0.0,8.8,1,18,06:04 AM,02:25 PM,06:32 AM,06:46 PM,-17,-21,-15,-21,14,50,91,0.1,1035,-7,8,277,9,Canada%2C%20Manitoba
2020-03-21,-6,-17,0.1,6.1,1,11,06:24 AM,03:38 PM,06:29 AM,06:49 PM,-13,-18,-12,-18,18,75,93,0.2,1026,-6,6,199,12,Canada%2C%20Manitoba
2020-03-22,-2,-11,2.2,6.1,1,4,06:40 AM,04:50 PM,06:27 AM,06:51 PM,-7,-13,-6,-13,25,95,91,2.6,1011,-2,6,227,18,Canada%2C%20Manitoba
2020-03-23,-3,-9,0.3,6.1,1,0,06:53 AM,06:01 PM,06:24 AM,06:53 PM,-7,-10,-6,-10,15,80,92,0.4,1011,-3,8,293,10,Canada%2C%20Manitoba
2020-03-24,-7,-14,0.3,6.2,1,0,07:05 AM,07:12 PM,06:21 AM,06:55 PM,-12,-16,-11,-16,16,96,93,0.4,1015,-7,6,37,11,Canada%2C%20Manitoba
2020-03-25,-10,-23,0.3,6.2,1,3,07:17 AM,08:22 PM,06:19 AM,06:57 PM,-17,-21,-16,-21,12,100,93,0.5,1017,-10,8,194,7,Canada%2C%20Manitoba
2020-03-26,-2,-13,3.1,6.2,1,11,07:29 AM,09:34 PM,06:16 AM,06:59 PM,-8,-13,-7,-13,19,100,94,3.8,1005,-2,4,191,13,Canada%2C%20Manitoba
2020-03-27,-1,-8,3.9,6.4,1,18,07:43 AM,10:46 PM,06:14 AM,07:01 PM,-5,-8,-4,-8,18,100,93,4.6,1001,-1,4,230,13,Canada%2C%20Manitoba
2020-03-28,-4,-17,8.4,6.5,1,25,07:59 AM,11:59 PM,06:11 AM,07:03 PM,-13,-15,-10,-15,20,98,95,10.0,1012,-4,3,172,14,Canada%2C%20Manitoba
2020-03-29,-12,-25,0.1,7.8,1,32,08:20 AM,No moonset,06:08 AM,07:05 PM,-19,-25,-17,-25,18,75,89,0.1,1026,-12,10,170,12,Canada%2C%20Manitoba
2020-03-30,-8,-17,3.9,6.5,1,40,08:48 AM,01:12 AM,06:06 AM,07:07 PM,-13,-19,-13,-19,22,100,94,4.7,1026,-8,5,89,16,Canada%2C%20Manitoba
2020-03-31,-6,-8,1.5,6.5,1,44,09:26 AM,02:20 AM,06:03 AM,07:09 PM,-7,-13,-7,-13,26,100,95,2.2,1021,-6,6,42,18,Canada%2C%20Manitoba
2020-04-01,0,-2,5.4,6.6,1,56,10:18 AM,03:21 AM,06:01 AM,07:11 PM,-1,-5,-1,-5,26,100,97,10.6,1017,0,4,88,17,Canada%2C%20Manitoba
2020-04-02,-1,-4,9.6,8.5,1,64,11:25 AM,04:10 AM,05:58 AM,07:13 PM,-3,-8,-2,-8,29,100,95,11.3,1016,-1,4,104,20,Canada%2C%20Manitoba
2020-04-03,-2,-5,23.9,8.5,1,71,12:45 PM,04:48 AM,05:56 AM,07:15 PM,-3,-6,-3,-6,12,100,97,28.1,1020,-2,2,43,9,Canada%2C%20Manitoba
2020-04-04,-4,-8,6.2,8.5,1,79,02:13 PM,05:17 AM,05:53 AM,07:17 PM,-8,-13,-7,-13,22,97,93,7.3,1019,-4,4,307,16,Canada%2C%20Manitoba
2020-04-05,-6,-15,1.1,8.6,1,87,03:45 PM,05:39 AM,05:50 AM,07:19 PM,-11,-15,-10,-15,15,90,93,1.4,1021,-6,6,317,10,Canada%2C%20Manitoba
2020-04-06,-3,-15,0.3,9.8,1,94,05:19 PM,05:57 AM,05:48 AM,07:21 PM,-9,-13,-8,-13,17,85,95,0.5,1021,-3,6,82,12,Canada%2C%20Manitoba
2020-04-07,0,-4,15.0,8.6,1,100,06:52 PM,06:13 AM,05:45 AM,07:23 PM,-2,-6,-1,-6,23,100,97,17.6,1002,0,3,124,16,Canada%2C%20Manitoba
2020-04-08,-1,-10,0.3,8.6,1,100,08:26 PM,06:29 AM,05:43 AM,07:25 PM,-6,-9,-5,-9,16,96,93,0.5,1006,-1,7,276,11,Canada%2C%20Manitoba
2020-04-09,-5,-17,0.5,13.3,1,83,09:59 PM,06:47 AM,05:40 AM,07:27 PM,-12,-16,-10,-16,15,63,91,0.7,1019,-5,7,225,10,Canada%2C%20Manitoba
2020-04-10,-2,-11,3.7,8.7,1,76,11:30 PM,07:08 AM,05:38 AM,07:29 PM,-6,-11,-6,-11,16,95,97,4.3,1011,-2,6,137,11,Canada%2C%20Manitoba
2020-04-11,-4,-9,3.1,8.7,1,68,No moonrise,07:34 AM,05:35 AM,07:31 PM,-8,-12,-7,-12,16,100,93,3.6,1010,-4,3,146,12,Canada%2C%20Manitoba
2020-04-12,-10,-17,1.1,8.8,1,61,12:53 AM,08:09 AM,05:33 AM,07:33 PM,-14,-19,-13,-19,15,100,91,1.4,1020,-10,7,316,11,Canada%2C%20Manitoba
2020-04-13,-10,-18,0.8,8.8,1,53,02:04 AM,08:56 AM,05:30 AM,07:35 PM,-15,-20,-13,-20,17,97,92,1.0,1022,-10,6,333,11,Canada%2C%20Manitoba
2020-04-14,-5,-20,0.3,9.9,1,46,03:00 AM,09:54 AM,05:28 AM,07:37 PM,-14,-17,-12,-17,15,70,89,0.4,1020,-5,6,314,9,Canada%2C%20Manitoba
2020-04-15,-5,-15,0.5,11.1,1,38,03:41 AM,11:01 AM,05:25 AM,07:39 PM,-11,-15,-9,-15,21,77,90,0.6,1018,-5,6,319,14,Canada%2C%20Manitoba
2020-04-16,-2,-14,0.8,11.1,1,30,04:10 AM,12:13 PM,05:23 AM,07:41 PM,-9,-13,-8,-13,18,74,90,1.0,1018,-2,7,305,12,Canada%2C%20Manitoba
2020-04-17,0,-9,1.9,8.9,1,23,04:32 AM,01:26 PM,05:20 AM,07:43 PM,-4,-8,-4,-8,18,89,97,2.3,1003,0,6,232,12,Canada%2C%20Manitoba
2020-04-18,-8,-21,0.5,8.9,1,15,04:49 AM,02:38 PM,05:18 AM,07:45 PM,-15,-20,-13,-20,21,90,87,1.5,1008,-8,7,229,15,Canada%2C%20Manitoba
2020-04-19,-4,-18,0.8,9.0,1,8,05:03 AM,03:50 PM,05:15 AM,07:47 PM,-12,-14,-10,-14,10,80,90,1.0,1006,-4,7,174,6,Canada%2C%20Manitoba
2020-04-20,-7,-13,1.6,9.0,1,0,05:15 AM,05:01 PM,05:13 AM,07:49 PM,-12,-15,-10,-15,15,80,91,2.0,1008,-7,5,176,10,Canada%2C%20Manitoba
2020-04-21,-5,-19,0.3,11.2,1,0,05:26 AM,06:12 PM,05:10 AM,07:51 PM,-13,-13,-11,-13,9,60,89,0.4,1016,-5,6,219,5,Canada%2C%20Manitoba
2020-04-22,-1,-13,1.8,9.0,1,0,05:38 AM,07:24 PM,05:08 AM,07:53 PM,-7,-11,-7,-11,16,91,96,2.2,1011,-1,2,118,10,Canada%2C%20Manitoba
2020-04-23,2,-3,3.1,9.1,1,0,05:50 AM,08:36 PM,05:06 AM,07:55 PM,-0,-3,-0,-3,12,96,99,3.8,1007,2,3,206,7,Canada%2C%20Manitoba
2020-04-24,1,-5,0.4,9.1,1,7,06:05 AM,09:50 PM,05:03 AM,07:57 PM,-2,-4,-1,-4,13,72,94,0.5,1018,1,6,243,8,Canada%2C%20Manitoba
2020-04-25,3,-7,0.0,11.3,1,15,06:24 AM,11:03 PM,05:01 AM,07:59 PM,-3,-4,-1,-4,13,65,93,0.0,1023,3,6,159,9,Canada%2C%20Manitoba
2020-04-26,8,-2,0.0,11.6,1,22,06:49 AM,No moonset,04:58 AM,08:01 PM,1,-0,3,-0,28,67,87,0.5,1007,8,8,180,18,Canada%2C%20Manitoba
2020-04-27,4,-2,0.1,9.7,1,30,07:23 AM,12:14 AM,04:56 AM,08:03 PM,-1,-2,2,-2,21,97,86,0.3,1003,4,8,189,15,Canada%2C%20Manitoba
2020-04-28,4,-7,0.0,12.6,1,37,08:10 AM,01:17 AM,04:54 AM,08:05 PM,-8,-5,-2,-5,11,48,66,0.0,1018,4,10,82,8,Canada%2C%20Manitoba
2020-04-29,9,-4,0.0,12.6,1,45,09:11 AM,02:09 AM,04:51 AM,08:07 PM,0,0,3,0,16,61,87,0.0,1018,9,8,166,10,Canada%2C%20Manitoba
